date,symbol,open,high,low,close,volume,trading_value,average_execution_price,source,quality_flags,official_execution_available,source_url,raw_sha256
2009-12-31,1101.TW,34.100000000000001,34.25,33.950000000000003,34,10271721,349710914,34.045990345726878,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
2009-12-31,1216.TW,39.399999999999999,39.5,39.200000000000003,39.450000000000003,5867682,231094355,39.38426707514143,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
2009-12-31,1301.TW,66.799999999999997,67.299999999999997,66.599999999999994,67.299999999999997,5997793,402230770,67.063129721215788,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
2009-12-31,1303.TW,58.100000000000001,58.299999999999997,57.799999999999997,58.299999999999997,5755569,334755202,58.161964872630314,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
2009-12-31,1326.TW,69.200000000000003,69.700000000000003,69,69.400000000000006,6055535,420053517,69.366871300388823,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
2009-12-31,1402.TW,39.5,40,39.299999999999997,40,11282368,447846237,39.694347587315001,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
2009-12-31,1504.TW,13.949999999999999,14.1,13.949999999999999,14,5590466,78185102,13.985435561185776,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
2009-12-31,1519.TW,32.350000000000001,32.649999999999999,32.149999999999999,32.450000000000003,1915216,62128512,32.439428242036406,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
2009-12-31,1590.TW,,,,,,,,MISSING_OFFICIAL,INVALID_TRADING_VALUE|INVALID_VOLUME|MISSING_OFFICIAL_ROW|MISSING_OFFICIAL_SOURCE,False,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,
2009-12-31,1605.TW,11.9,12.1,11.9,11.949999999999999,29822422,358396012,12.017669523957512,TWSE_OFFICIAL,,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20091231&type=ALLBUT0999,ef72970b67e1a53c75ebd36bb4c242da9763be106fb66212650c24933984f71d
