track,axis,value,conditional_active,trials,eligible_trials,return_median,return_min,return_max,mdd_median,costs_median_ntd,turnover_median,infeasible_days_median,interpretation
historical_pit,target_count,20,True,148,130,1.6076442893645466,0.9978146555750956,2.0032728013553003,0.2398793464802824,109064030.13837884,25.622327433192595,10.5,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,target_count,25,True,28,13,1.3436531603309003,1.050787762034295,1.8869162069495484,0.2600746977346932,68144870.13948463,17.65265351285602,157.0,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,target_count,30,True,26,5,1.3946033862804716,1.136046484576975,1.66727276891862,0.2468237720442321,54349945.4661416,13.107524486621635,163.0,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,target_count,28,True,26,6,1.3261211657191103,1.1809145543357815,1.412155947748567,0.2783848161114699,83058077.09303892,21.72943965817499,83.0,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,target_count,22,True,37,24,1.5814579671929354,1.1898401382845585,1.8383158333503644,0.24181841933436404,105222936.45940675,25.64584843568412,7.5,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,replacement_margin,0,True,69,56,1.6296498600527969,1.186840964211982,2.0032728013553003,0.23949066042383516,108017377.91240343,25.430534764445156,4.0,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,replacement_margin,0.2,False,38,30,1.5253625216911524,0.9978146555750956,1.9645063538027907,0.246576398256042,118131579.47546154,27.722153746161826,35.0,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,replacement_margin,0.05,True,17,10,1.4670350843714242,1.2234618999472366,1.9505453253530265,0.24542734952818665,102625826.95381072,24.858256348439546,32.0,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,replacement_margin,0.1,True,28,19,1.5964896003134157,1.1809145543357815,1.9505453253530265,0.236705377887728,99030834.87156098,23.00633467877229,4.0,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
historical_pit,replacement_margin,0.2,True,27,16,1.478849572294239,1.1767969527367397,1.819767344502182,0.2511337681710652,107425066.65461032,25.72192176594297,26.0,MARGINAL_ASSOCIATION_CONFOUNDED_BY_JOINT_AND_ADAPTIVE_SEARCH
