total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,slippage_cost,max_daily_volume_participation,trades_above_10pct_daily_volume,trades_above_100pct_daily_volume,trades,sessions,start,end,final_nav,raw_rule_breach_days,negative_cash_days,stale_held_price_days,infeasible_signal_days,active_share_status,certification,execution_price_bound_breaches,accounting_status,hard_breach_days,infeasible_executed_days,trade_days,costs,final_economic_nav,measured_hard_breach_days,cash_breach_days,holding_count_breach_days,whitelist_breach_days,active_cap_breach_days,overdue_passive_cap_days,cash_ratio_max,cash_ratio_min,average_stock_exposure,holdings_min,holdings_max,observed_rule_eligible,official_compliance,trade_count,universe_track,planner,candidate_id,status,phase,varied,anchor,search_seed,pair_id,parent,elapsed_seconds,path,target_count,replacement_margin,max_replacements_per_day,volatility_spike_ratio,one_day_chase_return,volume_low,volume_high,four_hour_mode,return_short,return_long,ema_fast,ema_slow,macd_fast,macd_slow,macd_signal,momentum_weight,long_return_fraction,track
1.9220633670864424,0.2369684445829812,0.3049780309263586,2.2801528699868188,1.9220633670864424,0.236705377887728,0.301615173787842,2.302176395894325,111821651.73911726,54906046.986968994,56915604.752148286,25.15208527425001,0.0,5.723276476976093,126,6,1566,417,2025-01-02,2026-09-21,2922063367.086442,0,0,0,2,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,2,415,111821651.73911726,2922063367.086442,0,0,0,0,0,0,0.2086944027186268,0.0113912588350286,0.8694879178461523,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1566,historical_pit,COMPLIANCE_GUARD_V2,a0000,COMPLETE,incumbent,none,anchor_p052,,,,5.451983041995845,trials/a0000,20,0.0,4,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
1.7491556652946496,0.2299510772672833,0.3087271902159974,2.1362674611706027,1.7491556652946496,0.2286630386973794,0.303951930700094,2.165031781016203,113562811.63854326,55783899.24990463,57778912.38863863,26.63393745191508,0.0,12.323013857103335,145,22,1724,417,2025-01-02,2026-09-21,2749155665.2946496,0,0,0,30,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,39,368,113562811.63854326,2749155665.2946496,0,0,0,0,0,0,0.2433051856899781,0.0117161774509945,0.856199137846613,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1724,historical_pit,COMPLIANCE_GUARD_V2,a0001,COMPLETE,incumbent,none,anchor_p049,,,,7.326732375004212,trials/a0001,20,0.2,0,2.0,0.04,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.1999999999999999,historical_pit
1.8869162069495484,0.2590805951349402,0.3137288313044514,2.201827176875672,1.8869162069495484,0.2571117167344162,0.3093321476011407,2.228687356384189,116758622.44548814,57322649.028203815,59435973.417284325,25.97509644933849,0.0,8.898459394841426,99,10,1600,417,2025-01-02,2026-09-21,2886916206.949548,0,0,0,32,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,39,378,116758622.44548814,2886916206.949548,0,0,0,0,0,0,0.2332230873644409,0.0444957553072614,0.8569627438220895,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1600,historical_pit,COMPLIANCE_GUARD_V2,a0002,COMPLETE,ofat,target_count,anchor_p052,,,,7.890693791996455,trials/a0002,25,0.0,4,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
1.66727276891862,0.2024164491804423,0.2684452115651854,2.345335675490442,1.66727276891862,0.2016751159706499,0.2642151375434321,2.378635166175789,108640315.19700456,53180937.3764948,55459377.82050976,27.17573827813765,0.0,5.30424181009231,103,8,1950,417,2025-01-02,2026-09-21,2667272768.91862,0,0,0,110,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,139,277,108640315.19700456,2667272768.91862,0,0,0,0,0,0,0.2345675863707723,0.071200274587315,0.820126240893428,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1950,historical_pit,COMPLIANCE_GUARD_V2,a0003,COMPLETE,ofat,target_count,anchor_p052,,,,17.636411167004553,trials/a0003,30,0.0,4,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
1.9220633670864424,0.2369684445829812,0.3049780309263586,2.2801528699868188,1.9220633670864424,0.236705377887728,0.301615173787842,2.302176395894325,111821651.73911726,54906046.986968994,56915604.752148286,25.15208527425001,0.0,5.723276476976093,126,6,1566,417,2025-01-02,2026-09-21,2922063367.086442,0,0,0,2,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,2,415,111821651.73911726,2922063367.086442,0,0,0,0,0,0,0.2086944027186268,0.0113912588350286,0.8694879178461523,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1566,historical_pit,COMPLIANCE_GUARD_V2,a0004,COMPLETE,ofat,replacement_margin,anchor_p052,,,,5.667393332994834,trials/a0004,20,0.0,4,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
1.7317385184953826,0.2369684445829812,0.2983393353555458,2.187307157528725,1.7317385184953826,0.236705377887728,0.2951810025283266,2.207526024901856,103403840.3146564,50836021.95320407,52567818.36145233,24.29471475403052,0.0,4.91756088979866,122,7,1494,417,2025-01-02,2026-09-21,2731738518.495383,0,0,0,2,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,4,413,103403840.3146564,2731738518.495383,0,0,0,0,0,0,0.2057544860700287,0.0113912588350286,0.8701878334446943,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1494,historical_pit,COMPLIANCE_GUARD_V2,a0005,COMPLETE,ofat,replacement_margin,anchor_p052,,,,5.971886541999993,trials/a0005,20,0.05,4,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
1.7705399155481767,0.2369684445829812,0.2947569323345934,2.239404420018462,1.7705399155481767,0.236705377887728,0.2911180721749436,2.263729313253279,112684235.46141694,55354519.64211255,57329715.81930439,25.20396174408781,0.0,7.953658952125608,134,6,1543,417,2025-01-02,2026-09-21,2770539915.548177,0,0,0,2,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,2,415,112684235.46141694,2770539915.548177,0,0,0,0,0,0,0.2186595068099165,0.0113912588350286,0.8682451678169995,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1543,historical_pit,COMPLIANCE_GUARD_V2,a0006,COMPLETE,ofat,replacement_margin,anchor_p052,,,,6.023683457999141,trials/a0006,20,0.1,4,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
1.771133334433494,0.2369684445829812,0.3046054337518282,2.177217435133405,1.771133334433494,0.236705377887728,0.3007649128663792,2.2011352379095426,109830996.28358246,53959536.91264568,55871459.37093677,24.72731352469133,0.0,13.321616169685834,132,10,1555,417,2025-01-02,2026-09-21,2771133334.433494,0,0,7,9,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,9,406,109830996.28358246,2771133334.433494,0,0,0,0,0,0,0.2147840593997308,0.0113912588350286,0.8672590740890452,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1555,historical_pit,COMPLIANCE_GUARD_V2,a0007,COMPLETE,ofat,replacement_margin,anchor_p052,,,,6.057844041999488,trials/a0007,20,0.2,4,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
1.5482534681095634,0.2403680021956793,0.3109369917462981,1.975748076395728,1.5482534681095634,0.2401011615363943,0.3061863935719683,2.001605218552699,96567756.10342686,47531799.05712017,49035957.0463067,23.045871766269684,0.0,3.877291479264245,123,10,1464,417,2025-01-02,2026-09-21,2548253468.109564,0,0,0,3,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,3,395,96567756.10342686,2548253468.109564,0,0,0,0,0,0,0.2056952223689893,0.0241794919535807,0.8707978663504872,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1464,historical_pit,COMPLIANCE_GUARD_V2,a0008,COMPLETE,ofat,replacement_margin,anchor_p052,,,,5.683082416995603,trials/a0008,20,0.4,4,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
1.5326696912843525,0.2372826528916285,0.2900161204283414,2.083857699947065,1.5326696912843525,0.2370192373830911,0.2858573095906788,2.109980809797712,92317603.28907876,45292047.438959055,47025555.85011971,22.276238816753743,0.0,5.827861390357759,104,11,1343,417,2025-01-02,2026-09-21,2532669691.2843523,0,0,7,9,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,9,356,92317603.28907876,2532669691.2843523,0,0,0,0,0,0,0.2212294659385665,0.0155919988364762,0.8737010873420696,20,30,True,UNKNOWN_BLOCK_SUBMISSION,1343,historical_pit,COMPLIANCE_GUARD_V2,a0009,COMPLETE,ofat,max_replacements_per_day,anchor_p052,,,,5.673760166995635,trials/a0009,20,0.0,0,3.0,0.095,0.5,3.0,coverage_only,20,50,30,90,12,26,9,0.75,0.4666666666666666,historical_pit
