track,candidate_id,anchor,anchor_candidate_id,axis,value,anchor_value,conditional_active,return_delta_pp,mdd_delta_pp,costs_delta_ntd,turnover_delta,infeasible_days_delta,hard_days,anchor_hard_days,both_zero_hard
historical_pit,a0002,anchor_p052,a0000,target_count,25,20,True,-3.5147160136894007,2.040633884668819,4936970.706370875,0.8230111750884817,37,0,0,True
historical_pit,a0003,anchor_p052,a0000,target_count,30,20,True,-25.479059816782247,-3.503026191707809,-3181336.542112708,2.0236530038876417,137,0,0,True
historical_pit,a0004,anchor_p052,a0000,replacement_margin,0,0,True,0.0,0.0,0.0,0.0,0,0,0,True
historical_pit,a0005,anchor_p052,a0000,replacement_margin,0.05,0,True,-19.03248485910598,0.0,-8417811.424460858,-0.8573705202194901,2,0,0,True
historical_pit,a0006,anchor_p052,a0000,replacement_margin,0.1,0,True,-15.152345153826573,0.0,862583.7222996801,0.0518764698378007,0,0,0,True
historical_pit,a0007,anchor_p052,a0000,replacement_margin,0.2,0,True,-15.093003265294836,0.0,-1990655.455534801,-0.4247717495586798,7,0,0,True
historical_pit,a0008,anchor_p052,a0000,replacement_margin,0.4,0,True,-37.3809898976879,0.33957836486663007,-15253895.635690406,-2.106213507980325,1,0,0,True
historical_pit,a0009,anchor_p052,a0000,max_replacements_per_day,0,4,True,-38.939367580208994,0.03138594953631113,-19504048.450038508,-2.875846457496266,7,0,0,True
historical_pit,a0010,anchor_p052,a0000,max_replacements_per_day,1,4,True,-3.0035115912768084,0.0,-13130966.537612826,-2.5822317222776086,0,0,0,True
historical_pit,a0011,anchor_p052,a0000,max_replacements_per_day,2,4,True,-12.760693660683241,0.0,-2668059.1984811425,-0.5137288836097049,0,0,0,True
historical_pit,a0012,anchor_p052,a0000,max_replacements_per_day,8,4,True,-36.48963870417352,0.0,-4427211.1113149375,0.013359544507761001,11,0,0,True
historical_pit,a0013,anchor_p052,a0000,volatility_spike_ratio,1.5,3,True,-29.15187974009774,-1.1566043736945892,-609602.234273985,0.6490332678583925,-2,0,0,True
historical_pit,a0014,anchor_p052,a0000,volatility_spike_ratio,2,3,True,-21.071340863173194,-0.4563132583094598,-7482397.98864384,-0.3880844276248183,0,0,0,True
historical_pit,a0015,anchor_p052,a0000,volatility_spike_ratio,5,3,True,0.0,0.0,0.0,0.0,0,0,0,True
historical_pit,a0016,anchor_p052,a0000,one_day_chase_return,0.03,0.095,True,3.9810468149801492,-0.6069170722705908,25115.023697331548,0.3791038286615347,0,0,0,True
historical_pit,a0017,anchor_p052,a0000,one_day_chase_return,0.055,0.095,True,-44.393858414153996,0.07035697819502973,-5145347.327116191,0.49641356507594736,2,0,0,True
historical_pit,a0018,anchor_p052,a0000,one_day_chase_return,0.07,0.095,True,-25.080881300988867,0.04968817764736955,-5424524.794917643,-0.2207658385071305,2,0,0,True
historical_pit,a0019,anchor_p052,a0000,volume_low,0.2,0.5,True,-33.120849793859165,0.8630828976970095,-2000714.4964217395,0.5477949456803053,8,0,0,True
historical_pit,a0020,anchor_p052,a0000,volume_low,0.8,0.5,True,-18.851229881780675,1.4898787498390076,-2783618.0895885825,0.13101601213797665,-1,0,0,True
historical_pit,a0021,anchor_p052,a0000,volume_low,1,0.5,True,-50.45845264236715,-0.7321942060751402,-19153077.265310884,-2.30445160673246,10,3,0,False
historical_pit,a0022,anchor_p052,a0000,volume_high,2,3,True,-28.74454062556284,0.0127038215190306,-540310.5326219052,0.8445175263989562,0,0,0,True
historical_pit,a0023,anchor_p052,a0000,volume_high,5,3,True,-20.0210991434264,-1.791525592604179,6684661.865657374,1.0612863996509105,2,0,0,True
