track,pair_id,search_seed,strict_candidate,coverage_candidate,strict_return,coverage_return,return_delta_pp,mdd_delta_pp,strict_hard_days,coverage_hard_days,both_zero_hard
historical_pit,20260922_00,20260922,a0073,a0074,1.4191118886489045,1.4063243775469596,-1.278751110194487,-1.15435706041018,3,0,False
historical_pit,20260922_01,20260922,a0075,a0076,1.1408007462614087,1.3517843384711408,21.098359220973208,1.9536386267224426,7,7,False
historical_pit,20260922_02,20260922,a0077,a0078,1.266130422117543,1.4679379880378225,20.18075659202796,2.980971874393928,2,6,False
historical_pit,20260922_03,20260922,a0079,a0080,1.3537153851461283,1.479250675760566,12.553529061443758,0.4656392900772105,1,0,False
historical_pit,20260922_04,20260922,a0081,a0082,1.4384640307146128,1.2927818170372012,-14.568221367741163,1.9533076041366282,4,3,False
historical_pit,20260922_05,20260922,a0083,a0084,1.359949068417404,1.9010009151194072,54.105184670200316,0.6735099882465678,2,2,False
historical_pit,20260922_06,20260922,a0085,a0086,1.4935480968798918,0.9787072660730528,-51.484083080683895,-0.2806115025321576,2,3,False
historical_pit,20260922_07,20260922,a0087,a0088,1.6598317017564508,1.6377316382818736,-2.210006347457716,-2.605270236347579,0,0,True
historical_pit,20260922_08,20260922,a0089,a0090,1.7951628694369246,1.5094103805584984,-28.57524888784262,-0.38080254578840844,1,1,False
historical_pit,20260922_09,20260922,a0091,a0092,1.412155947748567,1.3571247149822376,-5.503123276632937,5.466650923189209,0,4,False
historical_pit,20260922_10,20260922,a0093,a0094,1.3973801452750867,1.4738672502887846,7.648710501369793,2.9068780124392566,0,2,False
historical_pit,20260922_11,20260922,a0095,a0096,1.5287353039915126,1.576367777342954,4.7632473351441496,1.6308798402018794,3,3,False
historical_pit,20260922_12,20260922,a0097,a0098,1.3674951275595657,1.170610606605929,-19.688452095363672,4.955240038754541,0,2,False
historical_pit,20260922_13,20260922,a0099,a0100,1.277436094250596,1.516795153864364,23.935905961376804,0.3841743860167335,0,1,False
historical_pit,20260922_14,20260922,a0101,a0102,1.1749950850459148,1.059432498714748,-11.556258633116666,2.3742467182765403,2,5,False
historical_pit,20260922_15,20260922,a0103,a0104,1.3294174225249256,1.5658097833941196,23.639236086919404,-3.6558464913409807,4,3,False
historical_pit,20260922_16,20260922,a0105,a0106,1.4773889897037271,1.203276978676155,-27.41120110275721,0.7818588621325506,0,0,True
historical_pit,20260922_17,20260922,a0107,a0108,1.508199946617813,1.64425127605536,13.605132943754693,-1.9147117639667977,5,1,False
historical_pit,20260922_18,20260922,a0109,a0110,1.039818292345965,1.3075958159309833,26.77775235850184,5.848694611925708,18,4,False
historical_pit,20260922_19,20260922,a0111,a0112,1.6949100172214604,1.5848344906753993,-11.007552654606112,0.3573610259343829,0,0,True
historical_pit,20260922_20,20260922,a0113,a0114,1.3286726003913767,1.8015254014621516,47.28528010707749,-0.6852885983150592,1,0,False
historical_pit,20260922_21,20260922,a0115,a0116,1.8118357853444311,1.4273515021796306,-38.448428316480054,-1.6062864622980428,4,1,False
historical_pit,20260922_22,20260922,a0117,a0118,1.0804218199079725,1.2420711031822913,16.16492832743188,1.015785156096921,3,3,False
historical_pit,20260922_23,20260922,a0119,a0120,1.2234618999472366,1.4166598085184825,19.319790857124588,2.8910945022649486,0,0,True
historical_pit,20260922_24,20260922,a0121,a0122,1.5513747670415183,1.6439947769411345,9.262000989961617,0.6771116201130412,0,0,True
historical_pit,20260922_25,20260922,a0123,a0124,0.7749837524350671,1.2185727649854656,44.358901255039854,-3.6156764730875093,7,3,False
historical_pit,20260922_26,20260922,a0125,a0126,1.2417553321445665,0.5583928586039624,-68.3362473540604,2.9564116150084585,0,50,False
historical_pit,20260922_27,20260922,a0127,a0128,1.3359652035928091,1.4548194929822826,11.885428938947351,0.34823027428675934,0,0,True
historical_pit,20260922_28,20260922,a0129,a0130,1.2912575346855264,1.3631131908090586,7.1855656123532174,1.1853590857390295,0,0,True
historical_pit,20260922_29,20260922,a0131,a0132,1.4025894493488322,1.3528877485511472,-4.970170079768499,2.2889296007467808,7,4,False
historical_pit,20260922_30,20260922,a0133,a0134,1.1043018175510175,1.2029490946679524,9.864727711693488,-1.4258868915890177,1,2,False
historical_pit,20260922_31,20260922,a0135,a0136,1.2455848924137327,1.5447678540959395,29.91829616822068,0.8279250019064599,0,0,True
historical_pit,20260923_00,20260923,a0137,a0138,1.5474515181065502,1.5680976002256015,2.064608211905128,-0.3535462035558212,8,9,False
historical_pit,20260923_01,20260923,a0139,a0140,1.9505453253530265,1.4063650304956146,-54.418029485741194,1.9998525446683402,0,0,True
historical_pit,20260923_02,20260923,a0141,a0142,1.1898401382845585,1.47270635462568,28.28662163411215,-1.3966319803254827,0,0,True
historical_pit,20260923_03,20260923,a0143,a0144,1.040674453061861,1.118351729672214,7.767727661035306,1.8557706068442674,7,8,False
historical_pit,20260923_04,20260923,a0145,a0146,1.337591903847764,1.4075302814066863,6.99383775589224,0.13785095281783066,4,3,False
historical_pit,20260923_05,20260923,a0147,a0148,1.107883007581595,1.1581863506439958,5.03033430624007,-0.4211020368874885,0,0,True
historical_pit,20260923_06,20260923,a0149,a0150,1.6251740207674592,1.7697381920877104,14.456417132025123,5.124248086323921,0,0,True
historical_pit,20260923_07,20260923,a0151,a0152,1.4248690260189072,1.584490150015856,15.962112399694872,-1.9142794497861604,11,2,False
historical_pit,20260923_08,20260923,a0153,a0154,1.1557828629714466,1.136046484576975,-1.973637839447151,3.0349276513428474,0,0,True
historical_pit,20260923_09,20260923,a0155,a0156,1.5010716325698037,1.4200972018590172,-8.097443071078647,-0.9946970459932813,0,0,True
historical_pit,20260923_10,20260923,a0157,a0158,1.7134566078182227,1.6750670707142734,-3.8389537103949323,3.6685816496622614,0,0,True
historical_pit,20260923_11,20260923,a0159,a0160,1.2071496511079889,1.320752450678782,11.36027995707931,-0.8832670997667824,5,3,False
historical_pit,20260923_12,20260923,a0161,a0162,1.0695735748818804,1.2592668108060376,18.96932359241572,0.33129908057561996,5,1,False
historical_pit,20260923_13,20260923,a0163,a0164,1.7112916934533864,1.626878233316555,-8.441346013683138,1.6838221451836195,0,0,True
historical_pit,20260923_14,20260923,a0165,a0166,1.492189540220588,1.5780814437104715,8.589190348988351,0.5076506606551123,0,0,True
historical_pit,20260923_15,20260923,a0167,a0168,1.3302134971944906,1.4747278760578235,14.451437886333295,0.11683408153801977,1,3,False
historical_pit,20260923_16,20260923,a0169,a0170,1.3381965368168751,1.4022361421629532,6.403960534607811,1.0082532574515746,0,1,False
historical_pit,20260923_17,20260923,a0171,a0172,1.447333508419232,1.4834429490301069,3.6109440610874843,2.06650085676906,1,0,False
historical_pit,20260923_18,20260923,a0173,a0174,1.6244603756843463,1.7140904914380526,8.963011575370627,0.6707833751985193,4,2,False
historical_pit,20260923_19,20260923,a0175,a0176,1.3140457946213455,1.549259025257101,23.52132306357555,0.23833708449679802,0,1,False
historical_pit,20260923_20,20260923,a0177,a0178,1.6743874125671705,1.1473103283338075,-52.7077084233363,7.2357445355838825,2,1,False
historical_pit,20260923_21,20260923,a0179,a0180,1.610433674983788,1.4074213435586,-20.301233142518793,2.907713716012089,0,2,False
historical_pit,20260923_22,20260923,a0181,a0182,1.3789635920734835,1.5516695859147824,17.27059938412989,0.47037910672277916,3,3,False
historical_pit,20260923_23,20260923,a0183,a0184,1.455155208259173,0.1829454086461164,-127.22097996130566,-0.7762473017135396,41,2,False
historical_pit,20260923_24,20260923,a0185,a0186,1.326215415398523,0.989204478822141,-33.701093657638204,-1.2769712675026301,6,3,False
historical_pit,20260923_25,20260923,a0187,a0188,1.7693262760933832,1.5683656909093493,-20.096058518403392,-0.09983318612760972,3,3,False
historical_pit,20260923_26,20260923,a0189,a0190,1.7498328101009766,1.3436531603309003,-40.617964977007624,0.4778509382259599,1,0,False
historical_pit,20260923_27,20260923,a0191,a0192,1.050787762034295,1.196215103526979,14.54273414926841,-0.872463778866811,0,0,True
historical_pit,20260923_28,20260923,a0193,a0194,1.364042960629218,1.1809145543357815,-18.31284062934364,6.5357477671892985,0,0,True
historical_pit,20260923_29,20260923,a0195,a0196,1.1457840691697587,1.1553389615641252,0.9554892394366465,0.610135855319599,3,3,False
historical_pit,20260923_30,20260923,a0197,a0198,1.7592428441818195,1.609091398242057,-15.01514459397626,0.7715841836700599,0,0,True
historical_pit,20260923_31,20260923,a0199,a0200,1.3946033862804716,1.6590804632479488,26.447707696747713,1.3670092480469964,0,0,True
official_ex_post,20260922_00,20260922,a0073,a0074,1.9687257065661157,2.2128693526796117,24.414364611349605,1.7653865506977007,3,0,False
official_ex_post,20260922_01,20260922,a0075,a0076,2.185415148580076,1.9540353904526344,-23.137975812744173,4.924340777357051,0,0,True
official_ex_post,20260922_02,20260922,a0077,a0078,1.6991300957443496,1.907624917012829,20.84948212684794,0.7913447516707084,2,4,False
official_ex_post,20260922_03,20260922,a0079,a0080,2.194844826815204,1.927668819790091,-26.7176007025113,1.5768597371304898,3,0,False
official_ex_post,20260922_04,20260922,a0081,a0082,2.155197773714638,2.331293952692828,17.609617897818985,0.7467368268502222,4,4,False
official_ex_post,20260922_05,20260922,a0083,a0084,2.089693697948038,1.9243720327600924,-16.53216651879457,2.6813561719437717,2,3,False
official_ex_post,20260922_06,20260922,a0085,a0086,1.4113076461820788,2.026547051299715,61.52394051176362,0.6208335569842904,5,9,False
official_ex_post,20260922_07,20260922,a0087,a0088,2.1794512213399164,2.033039577301671,-14.641164403824547,1.9242102430904684,0,0,True
official_ex_post,20260922_08,20260922,a0089,a0090,2.8037729520965704,2.5046333435442434,-29.913960855232702,2.312652210167898,1,1,False
official_ex_post,20260922_09,20260922,a0091,a0092,1.911411591875889,2.0070232270851074,9.561163520921845,1.231039989079219,4,3,False
official_ex_post,20260922_10,20260922,a0093,a0094,2.456106540298119,2.0241463572179588,-43.19601830801601,2.0307706678496737,4,5,False
official_ex_post,20260922_11,20260922,a0095,a0096,1.8032404488557523,2.087896413402348,28.465596454659583,-0.0877340569829882,4,3,False
official_ex_post,20260922_12,20260922,a0097,a0098,2.894759429845472,2.254820210976517,-63.9939218868955,4.030726441263918,0,5,False
official_ex_post,20260922_13,20260922,a0099,a0100,1.9666883515560247,2.142901498238093,17.621314668206843,2.5349900538404633,2,1,False
official_ex_post,20260922_14,20260922,a0101,a0102,1.3183647392543434,1.7181585501240375,39.97938108696941,3.7852886467917983,4,2,False
official_ex_post,20260922_15,20260922,a0103,a0104,1.7384345446400349,2.3743068986656883,63.58723540256535,0.17366672865004873,4,3,False
official_ex_post,20260922_16,20260922,a0105,a0106,1.5785814634774824,1.2742678320576708,-30.43136314198116,-1.7690335063803297,0,0,True
official_ex_post,20260922_17,20260922,a0107,a0108,1.7226446868277017,2.054949373192242,33.23046863645405,1.9930737483600691,5,4,False
official_ex_post,20260922_18,20260922,a0109,a0110,1.2820480445268676,1.7344630858279344,45.24150413010668,1.8194159585591811,19,8,False
official_ex_post,20260922_19,20260922,a0111,a0112,2.0118495634780147,2.12580049541978,11.395093194176509,0.8527627549945294,0,0,True
official_ex_post,20260922_20,20260922,a0113,a0114,2.275335721176368,2.5502105458142674,27.487482463789938,2.546091596216238,0,1,False
official_ex_post,20260922_21,20260922,a0115,a0116,2.206739649619234,1.9675147193196276,-23.922493029960656,1.5023273928716967,4,1,False
official_ex_post,20260922_22,20260922,a0117,a0118,1.7077507980534357,1.625974971237245,-8.177582681619056,-1.9381326047766212,4,3,False
official_ex_post,20260922_23,20260922,a0119,a0120,2.989989908179001,2.6622739084034417,-32.77159997755592,0.6125886484953713,0,0,True
official_ex_post,20260922_24,20260922,a0121,a0122,2.5773410772634997,2.509333758573251,-6.800731869024856,0.10678145853504906,0,0,True
official_ex_post,20260922_25,20260922,a0123,a0124,1.867461746324293,1.462440912184336,-40.502083413995706,4.567692561682921,4,7,False
official_ex_post,20260922_26,20260922,a0125,a0126,1.7906739105405896,1.689450510241446,-10.122340029914344,0.7586216617805064,0,0,True
official_ex_post,20260922_27,20260922,a0127,a0128,2.1571266581788726,1.6772117245098208,-47.99149336690518,0.7382842126104183,4,4,False
official_ex_post,20260922_28,20260922,a0129,a0130,1.814880421587816,2.003342611534871,18.84621899470551,1.2952899182903321,0,0,True
official_ex_post,20260922_29,20260922,a0131,a0132,1.9027822831746768,2.123017091230456,22.023480805577922,-2.6957369332342607,5,3,False
official_ex_post,20260922_30,20260922,a0133,a0134,1.3260945169752176,1.5989258409295657,27.283132395434805,-0.6554389385418413,6,6,False
official_ex_post,20260922_31,20260922,a0135,a0136,1.957735061795669,2.0142843527559444,5.654929096027539,3.6170877904518783,0,0,True
official_ex_post,20260923_00,20260923,a0137,a0138,1.7557850477468513,1.6666091089502464,-8.91759387966049,-1.9817124168103495,10,9,False
official_ex_post,20260923_01,20260923,a0139,a0140,1.974245800013784,1.8102339854086396,-16.401181460514437,1.7386388729126512,0,0,True
official_ex_post,20260923_02,20260923,a0141,a0142,2.3226567253661794,2.316366834775026,-0.628989059115348,1.1031114157693311,0,0,True
official_ex_post,20260923_03,20260923,a0143,a0144,1.26225546563596,1.6888417545971532,42.65862889611933,0.7574246025489728,9,6,False
official_ex_post,20260923_04,20260923,a0145,a0146,1.8827598101494176,2.0424983444489246,15.973853429950701,0.9134118465663199,4,3,False
official_ex_post,20260923_05,20260923,a0147,a0148,2.337223709969181,1.523844995037854,-81.3378714931327,4.518150176781349,1,2,False
official_ex_post,20260923_06,20260923,a0149,a0150,3.0173044319333924,2.670542575653599,-34.676185627979315,2.230249608364071,0,0,True
official_ex_post,20260923_07,20260923,a0151,a0152,1.5510446519251389,1.532261703650879,-1.8782948274259859,-2.4537297296314984,9,7,False
official_ex_post,20260923_08,20260923,a0153,a0154,1.571358878410185,1.662095572373599,9.0736693963414,0.8884031804519521,0,0,True
official_ex_post,20260923_09,20260923,a0155,a0156,2.807964363769664,1.8735917431637343,-93.43726206059296,1.5770757835673193,0,0,True
official_ex_post,20260923_10,20260923,a0157,a0158,2.777329477089451,2.4487997072785816,-32.85297698108693,3.402374820237858,0,0,True
official_ex_post,20260923_11,20260923,a0159,a0160,1.4702849218191347,1.65620600472902,18.59210829098852,-0.5377115776102392,5,3,False
official_ex_post,20260923_12,20260923,a0161,a0162,1.882039350395852,1.868288971371666,-1.3750379024185966,-0.38710474255148064,3,4,False
official_ex_post,20260923_13,20260923,a0163,a0164,1.984068876452329,2.1519594852840056,16.78906088316765,-1.4537428596539004,0,0,True
official_ex_post,20260923_14,20260923,a0165,a0166,2.0210805933105047,1.9974865682179748,-2.3594025092529947,-0.41556740458958963,0,0,True
official_ex_post,20260923_15,20260923,a0167,a0168,1.574670392325817,1.5096275086628808,-6.50428836629362,-0.7594833216042013,6,3,False
official_ex_post,20260923_16,20260923,a0169,a0170,1.9846292734206756,1.5798184937235191,-40.48107796971565,-2.0005341077474705,2,2,False
official_ex_post,20260923_17,20260923,a0171,a0172,2.995800465129196,2.9491028285245986,-4.669763660459747,0.2842991033227299,1,4,False
official_ex_post,20260923_18,20260923,a0173,a0174,2.458741870431942,2.181147824374716,-27.759404605722573,4.642361023394609,4,2,False
official_ex_post,20260923_19,20260923,a0175,a0176,2.1680433149785,2.4118849090746037,24.384159409610362,3.514681640489392,1,0,False
official_ex_post,20260923_20,20260923,a0177,a0178,2.099007916277735,1.639872604138283,-45.91353121394519,3.0980054493564113,1,2,False
official_ex_post,20260923_21,20260923,a0179,a0180,2.257196253863897,2.39505126794711,13.785501408321288,2.3020633049463166,2,0,False
official_ex_post,20260923_22,20260923,a0181,a0182,2.2738611699645195,1.7466276157628229,-52.72335542016966,-0.5891071041609797,4,3,False
official_ex_post,20260923_23,20260923,a0183,a0184,1.7583297529211783,1.6115247775254766,-14.680497539570169,-3.8063243667435325,20,18,False
official_ex_post,20260923_24,20260923,a0185,a0186,1.733284509565049,1.268254467611598,-46.5030041953451,0.6524189559878935,5,7,False
official_ex_post,20260923_25,20260923,a0187,a0188,3.0131684076204985,2.962324868748509,-5.084353887198967,-2.7505192223877097,3,3,False
official_ex_post,20260923_26,20260923,a0189,a0190,2.2130251714367093,2.232957133499468,1.993196206275849,0.9372987333626293,1,0,False
official_ex_post,20260923_27,20260923,a0191,a0192,1.9264081068581929,1.94944309050636,2.303498364816714,2.9111102976703607,0,2,False
