track,search_seed,four_hour_mode,trials,eligible_trials,candidate_id,economic_total_return,economic_max_drawdown,target_count,replacement_margin,max_replacements_per_day,volatility_spike_ratio,one_day_chase_return,volume_low,volume_high,return_short,return_long,ema_fast,ema_slow,macd_fast,macd_slow,macd_signal,momentum_weight,long_return_fraction,selected_four_hour_mode,interpretation
historical_pit,20260922,all,64,24,a0114,1.8015254014621516,0.2854350154487155,25,0.3,8,3.0,0.095,0.3,2.0,15,40,15,40,24,52,12,0.55,0.2,coverage_only,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
historical_pit,20260922,strict,32,13,a0111,1.6949100172214604,0.2478556503985317,22,0.0,6,3.0,0.095,0.2,8.0,30,90,50,150,12,26,9,0.95,0.15,strict,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
historical_pit,20260922,coverage_only,32,11,a0114,1.8015254014621516,0.2854350154487155,25,0.3,8,3.0,0.095,0.3,2.0,15,40,15,40,24,52,12,0.55,0.2,coverage_only,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
historical_pit,20260923,all,64,31,a0139,1.9505453253530265,0.2231643435163769,20,0.1,1,2.5,0.04,0.5,3.0,20,50,50,150,24,52,12,0.95,0.35,strict,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
historical_pit,20260923,strict,32,16,a0139,1.9505453253530265,0.2231643435163769,20,0.1,1,2.5,0.04,0.5,3.0,20,50,50,150,24,52,12,0.95,0.35,strict,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
historical_pit,20260923,coverage_only,32,15,a0150,1.7697381920877104,0.2566968097679227,20,0.0,0,2.0,0.03,0.2,5.0,10,30,5,20,6,13,4,0.55,0.4666666666666667,coverage_only,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
official_ex_post,20260922,all,64,22,a0119,2.989989908179001,0.2152421065645745,20,0.05,1,2.5,0.07,0.3,5.0,5,20,5,20,16,35,9,0.65,0.35,strict,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
official_ex_post,20260922,strict,32,11,a0119,2.989989908179001,0.2152421065645745,20,0.05,1,2.5,0.07,0.3,5.0,5,20,5,20,16,35,9,0.65,0.35,strict,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
official_ex_post,20260922,coverage_only,32,11,a0120,2.6622739084034417,0.2213679930495282,20,0.05,1,2.5,0.07,0.3,5.0,5,20,5,20,16,35,9,0.65,0.35,coverage_only,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
official_ex_post,20260923,all,64,23,a0149,3.0173044319333924,0.2162021642391514,20,0.0,0,2.0,0.03,0.2,5.0,10,30,5,20,6,13,4,0.55,0.4666666666666667,strict,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
official_ex_post,20260923,strict,32,11,a0149,3.0173044319333924,0.2162021642391514,20,0.0,0,2.0,0.03,0.2,5.0,10,30,5,20,6,13,4,0.55,0.4666666666666667,strict,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
official_ex_post,20260923,coverage_only,32,12,a0150,2.670542575653599,0.2385046603227921,20,0.0,0,2.0,0.03,0.2,5.0,10,30,5,20,6,13,4,0.55,0.4666666666666667,coverage_only,SEARCH_VARIANCE_TWO_SEEDS_NOT_RETURN_SAMPLING_VARIANCE
