track,model,period,sessions,start,end,economic_return,economic_max_drawdown,interpretation
historical_pit,v1_matched,2025H1,116,2025-01-02,2025-06-30,-0.014109400493255597,0.19526747530233324,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
historical_pit,v1_matched,2025H2,127,2025-07-01,2025-12-31,0.48207323471396224,0.06809529336642128,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
historical_pit,v1_matched,2026H1,116,2026-01-02,2026-06-30,0.764477463702602,0.11699639194397793,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
historical_pit,v1_matched,2026Q3_partial,58,2026-07-01,2026-09-21,0.06099440115234156,0.12758584539663176,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
historical_pit,0050,2025H1,116,2025-01-02,2025-06-30,0.00814227281098634,0.24593147762374734,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
historical_pit,0050,2025H2,127,2025-07-01,2025-12-31,0.3238082366963717,0.07313319563417775,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
historical_pit,0050,2026H1,116,2026-01-02,2026-06-30,0.6003907262570549,0.09943148633838927,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
historical_pit,0050,2026Q3_partial,58,2026-07-01,2026-09-21,0.036038920531619834,0.13067340808822714,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,return_winner,2025H1,116,2025-01-02,2025-06-30,0.051123149418828895,0.23690324908451388,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,return_winner,2025H2,127,2025-07-01,2025-12-31,0.8415363485274534,0.09777316972254435,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
official_ex_post,return_winner,2026H1,116,2026-01-02,2026-06-30,1.3718503229763037,0.12625216403280304,WITHIN_DEVELOPMENT_CONTINUOUS_LEDGER
