etf,source_date,date_semantics,ticker,name,shares,weight_nav_fraction,source_url,raw_sha256,observed_at
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3443,創意電子,59000,0.0226,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,7769,鴻勁精密,73000,0.022000000000000002,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3711,日月光投資控股,621000,0.0207,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2368,金像電子（股）公司,393000,0.0207,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,5274,信驊科技,20300,0.0203,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2344,華邦電子,2293000,0.020099999999999996,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3653,健策精密工業,69000,0.020099999999999996,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,3081,聯亞光電工業,128600,0.018600000000000002,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,6223,旺矽科技,66000,0.0183,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,8299,群聯電子,168000,0.0182,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2360,致茂電子,148000,0.0177,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,6274,台燿科技,240000,0.0173,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
00980A,2026-09-21,EXPLICIT_ISSUER_NAV_DATE,2382,廣達電腦,987000,0.0171,https://www.nomurafunds.com.tw/API/ETFAPI/api/Fund/GetFundAssets,0121057e4c9a63751c7eefdf86819794c09c1011a3ab124b3b6a9562b83577d7,2026-09-22T06:19:02.247175+00:00
