official_ticker,canonical_symbol,name,market,previous_exact_symbol_covered,identity_mapping,first_daily,last_daily,daily_warmup_rows,daily_evaluation_rows,complete_4h_warmup_rows,complete_4h_evaluation_rows,known_at,known_at_policy
2327,2327.TW,國巨,TWSE,True,,2024-01-02,2026-09-21,242,410,62,408,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1326,1326.TW,台化,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6669,6669.TW,緯穎,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3189,3189.TW,景碩,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3017,3017.TW,奇鋐,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3034,3034.TW,聯詠,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2885,2885.TW,元大金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2207,2207.TW,和泰車,TWSE,True,,2024-01-02,2026-09-21,242,417,61,413,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2887,2887.TW,台新新光金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2002,2002.TW,中鋼,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2360,2360.TW,致茂,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2801,2801.TW,彰銀,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2886,2886.TW,兆豐金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2449,2449.TW,京元電子,TWSE,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2059,2059.TW,川湖,TWSE,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
1590,1590.TW,亞德客-KY,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6505,6505.TW,台塑化,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3661,3661.TW,世芯-KY,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2884,2884.TW,玉山金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
6770,6770.TW,力積電,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2880,2880.TW,華南金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
3036,3036.TW,文曄,TWSE,True,,2024-01-02,2026-09-21,242,417,62,414,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2357,2357.TW,華碩,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2615,2615.TW,萬海,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2890,2890.TW,永豐金,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
2618,2618.TW,長榮航,TWSE,True,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
8046,8046.TW,南電,TWSE,False,,2024-01-02,2026-09-21,242,417,62,415,2026-09-18T10:05:13+08:00,official_event_publication_raw_timestamp_Taipei_timezone_assumption
