track,model,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,slippage_cost,max_daily_volume_participation,trades_above_10pct_daily_volume,trades_above_100pct_daily_volume,trades,sessions,start,end,final_nav,raw_rule_breach_days,negative_cash_days,stale_held_price_days,infeasible_signal_days,active_share_status,certification,execution_price_bound_breaches,accounting_status,simulated_warning_days,disqualified,complete_period,rejected_trade_count,official_compliance,hard_breach_days,infeasible_executed_days,trade_days,costs,final_economic_nav,measured_hard_breach_days,cash_breach_days,holding_count_breach_days,whitelist_breach_days,active_cap_breach_days,overdue_passive_cap_days,cash_ratio_max,cash_ratio_min,average_stock_exposure,holdings_min,holdings_max,observed_rule_eligible,planner,universe_track,no_valid_plan_days,hold_without_envelope_days,unfilled_orders
official_ex_post,expansion_selected,3.0915579554583044,0.22222458968428427,0.31579451341172815,2.8589282411697443,3.0915579554583044,0.22198695368094346,0.31190401227912773,2.8906654771070004,145642139.67791086,71037294.93507384,74604844.74283701,26.76839091026167,0.0,7.073072646843139,125,13,1781,417,2025-01-02,2026-09-21,4091557955.4583044,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,397,145642139.67791086,4091557955.4583044,0,0,0,0,0,0,0.20867924687944558,0.012267996541044436,0.8663473654948601,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,official_ex_post,0,0,0
official_ex_post,parent_d0034,2.8650101144417075,0.2983289921504584,0.3237741099928221,2.6898017540234287,2.8650101144417075,0.2967870518886585,0.31900036119049435,2.7252630966333617,142309960.22112277,69671239.42090473,72638720.80021805,24.943126292803882,0.0,16.1151040905528,111,10,1619,417,2025-01-02,2026-09-21,3865010114.4417076,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,397,142309960.22112277,3865010114.4417076,0,0,0,0,0,0,0.20718356349696054,0.011899561748994087,0.8694876423030089,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,official_ex_post,0,0,0
historical_pit,expansion_selected,1.566794129798141,0.22891530063300247,0.26855413100686204,2.257943367230858,1.566794129798141,0.22866541202448998,0.2625061832969606,2.303921615993094,122063518.00347513,59758390.30113475,62305127.70234038,27.11504885292205,0.0,12.919238431142027,138,21,1711,417,2025-01-02,2026-09-21,2566794129.798141,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,404,122063518.00347513,2566794129.798141,0,0,0,0,0,0,0.20714398891510286,0.01057102646809958,0.8671442111253654,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,0
historical_pit,parent_d0034,1.453512966806351,0.2701549089387021,0.29086269718425556,2.012535196747358,1.453512966806351,0.26905790769104776,0.28527249111152836,2.0463623845900867,119356571.2407339,58545409.201795906,60811162.038937986,27.185691197149445,0.0,11.652134156297965,152,30,1741,417,2025-01-02,2026-09-21,2453512966.8063507,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,409,119356571.2407339,2453512966.8063507,0,0,0,0,0,0,0.21596396380784172,0.020574204931494606,0.8658785194396816,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,0
