total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,slippage_cost,max_daily_volume_participation,trades_above_10pct_daily_volume,trades_above_100pct_daily_volume,trades,sessions,start,end,final_nav,raw_rule_breach_days,negative_cash_days,stale_held_price_days,infeasible_signal_days,active_share_status,certification,execution_price_bound_breaches,accounting_status,simulated_warning_days,disqualified,complete_period,rejected_trade_count,official_compliance,hard_breach_days,infeasible_executed_days,trade_days,costs,final_economic_nav,measured_hard_breach_days,cash_breach_days,holding_count_breach_days,whitelist_breach_days,active_cap_breach_days,overdue_passive_cap_days,cash_ratio_max,cash_ratio_min,average_stock_exposure,holdings_min,holdings_max,observed_rule_eligible,planner,universe_track,no_valid_plan_days,hold_without_envelope_days,unfilled_orders,target_count,replacement_margin,max_replacements_per_day,volatility_spike_ratio,one_day_chase_return,volume_low,volume_high,four_hour_mode,return_short,return_long,ema_fast,ema_slow,macd_fast,macd_slow,macd_signal,momentum_weight,long_return_fraction,cash_guard_ratio,candidate_id,phase,track,status,elapsed_seconds,eligible,research_eligible
1.6139764264850083,0.27069439975113097,0.2929442880708544,2.131298106343603,1.6139764264850083,0.26942839085605674,0.28844931878940316,2.1600000385173757,118299134.27832314,58030680.42366157,60268453.85466157,26.993300694811644,0.0,11.615881809787627,162,18,1811,417,2025-01-02,2026-09-21,2613976426.4850082,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,1,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,414,118299134.27832314,2613976426.4850082,0,0,0,0,0,0,0.20608454474234764,0.020574204931494606,0.8672871476189641,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,0,20,0.2,2,2.0,0.04,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0010,old_design_replayed,historical_pit,COMPLETE,18.244712688000163,False,False
1.460903863980627,0.27069439975113097,0.2883680512973372,2.033752965926494,1.460903863980627,0.26942839085605674,0.2840309933812503,2.0604620928995514,112190944.96101747,55129109.48310772,57061835.477909744,27.047097818779157,0.0,11.043397968605724,147,17,1773,417,2025-01-02,2026-09-21,2460903863.980627,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,413,112190944.96101747,2460903863.980627,0,0,0,0,0,0,0.20621592590899876,0.01869543429035855,0.8685129380546875,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,1,0,20,0.2,4,2.0,0.04,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0011,old_design_replayed,historical_pit,COMPLETE,10.934492442000192,False,False
1.5311558999853991,0.27069439975113097,0.29455885831252276,2.054833256018637,1.5311558999853991,0.26942839085605674,0.29000996793792905,2.0824985690229916,119537168.341324,58542489.36758503,60994678.97373897,27.732968006467367,0.0,11.043397968605724,171,20,1851,417,2025-01-02,2026-09-21,2531155899.9853992,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,2,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,413,119537168.341324,2531155899.9853992,0,0,0,0,0,0,0.2086580609464031,0.020574204931494606,0.8677955345395784,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,0,20,0.2,8,2.0,0.04,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0012,old_design_replayed,historical_pit,COMPLETE,11.302097417999903,False,False
1.5257702448012442,0.26407473338241416,0.28294230316651886,2.1226713993664514,1.5257702448012442,0.26378659465731613,0.2780213631587866,2.1553188007623105,113292243.1283099,55660265.325516045,57631977.802793846,26.91525473421663,0.0,9.776100785830112,147,16,1677,417,2025-01-02,2026-09-21,2525770244.8012443,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,399,113292243.1283099,2525770244.8012443,0,0,0,0,0,0,0.21015831228022339,0.01911657412084983,0.8676656952952401,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,0,20,0.2,0,1.5,0.04,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0013,old_design_replayed,historical_pit,COMPLETE,10.97511755100004,True,True
1.8860781572060823,0.2075800722066944,0.2813529719341908,2.4201717908987934,1.8860781572060823,0.20644007215225313,0.2767256690062882,2.456006198346482,128430012.49604309,62924924.55011991,65505087.945923164,28.184495133274382,0.0,9.136834227267057,183,24,1799,417,2025-01-02,2026-09-21,2886078157.2060823,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,1,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,405,128430012.49604309,2886078157.2060823,0,0,0,0,0,0,0.2164605502487046,0.020574204931494606,0.865578573541783,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,0,20,0.2,0,3.0,0.04,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0014,old_design_replayed,historical_pit,COMPLETE,10.410928091999722,False,False
1.8860781572060823,0.2075800722066944,0.2813529719341908,2.4201717908987934,1.8860781572060823,0.20644007215225313,0.2767256690062882,2.456006198346482,128430012.49604309,62924924.55011991,65505087.945923164,28.184495133274382,0.0,9.136834227267057,183,24,1799,417,2025-01-02,2026-09-21,2886078157.2060823,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,1,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,405,128430012.49604309,2886078157.2060823,0,0,0,0,0,0,0.2164605502487046,0.020574204931494606,0.865578573541783,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,0,20,0.2,0,5.0,0.04,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0015,old_design_replayed,historical_pit,COMPLETE,10.417650006000258,False,False
1.5797651897595033,0.2730528200631862,0.2876053897757005,2.13747698538077,1.5797651897595033,0.27153738869384025,0.2824580703905554,2.17126927000376,120506140.64165536,59174500.94190949,61331639.69974586,27.08625980765767,0.0,9.729325183984034,170,24,1740,417,2025-01-02,2026-09-21,2579765189.7595034,1,0,0,1,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,1,False,True,0,UNKNOWN_BLOCK_SUBMISSION,1,1,402,120506140.64165536,2579765189.7595034,1,1,1,0,0,0,1.0,0.02040111434112816,0.866401003739273,0,30,False,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,1,0,0,20,0.2,0,2.0,0.03,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0016,old_design_replayed,historical_pit,COMPLETE,11.50648468099962,False,False
1.6910816282012182,0.2771787230101407,0.3052911774979574,2.1146341257823904,1.6910816282012182,0.27687614906593183,0.3003207009837098,2.1446379308791936,106999138.72628944,52510771.92323039,54488366.80305906,24.344103733333892,0.0,9.277161032805289,171,28,1609,417,2025-01-02,2026-09-21,2691081628.201218,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,1,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,406,106999138.72628944,2691081628.201218,0,0,0,0,0,0,0.21868238192639594,0.020231189603482466,0.8722289505204273,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,0,20,0.2,0,2.0,0.055,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0017,old_design_replayed,historical_pit,COMPLETE,20.50989894999975,False,False
1.7586419685188002,0.2862315135443252,0.30423877338584,2.170411441196247,1.7586419685188002,0.28471257188512067,0.2986593616988704,2.205353757625326,102995118.84401266,50570086.1259888,52425032.718023874,23.90258410557506,0.0,4.863020480285155,130,14,1604,417,2025-01-02,2026-09-21,2758641968.5188003,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,402,102995118.84401266,2758641968.5188003,0,0,0,0,0,0,0.20448750266922028,0.021442083280491044,0.8738591596284293,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,1,20,0.2,0,2.0,0.07,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0018,old_design_replayed,historical_pit,COMPLETE,20.235948300000018,False,False
1.5789753902690005,0.27230394321575424,0.2924244829945045,2.106556423348076,1.5789753902690005,0.2710398367427882,0.2877382698107347,2.136149331306371,105032642.30013499,51641111.180339254,53391531.11979573,24.376001165905134,0.0,8.996507421728825,135,24,1619,417,2025-01-02,2026-09-21,2578975390.2690005,0,0,0,0,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,RESEARCH_SHADOW_ONLY_BLOCK_SUBMISSION,0,SELF_FINANCING,0,False,True,0,UNKNOWN_BLOCK_SUBMISSION,0,0,403,105032642.30013499,2578975390.2690005,0,0,0,0,0,0,0.20449767174344116,0.0096287017104653,0.8714721620384683,20,30,True,DOUBLE_CHECK_OFFICIAL_RULE_SHADOW,historical_pit,0,0,1,20,0.2,0,2.0,0.095,0.8,3.0,coverage_only,10,30,10,30,8,21,5,0.75,0.19999999999999998,0.12,d0019,old_design_replayed,historical_pit,COMPLETE,11.895984563000184,False,False
