track,candidate_id,episode,kind,start,end,total_return,max_drawdown,annualized_volatility,sharpe_zero_rf,economic_total_return,economic_max_drawdown,economic_annualized_volatility,economic_sharpe_zero_rf,final_nav,sessions,transaction_costs,commission_cost,sell_tax_cost,turnover_two_way,max_daily_volume_participation,trades,simulated_warning_days,disqualified,complete_period,rejected_trade_count,measured_hard_breach_days,raw_rule_breach_days,cash_breach_days,holding_count_breach_days,active_cap_breach_days,overdue_passive_cap_days,stale_held_price_days,execution_price_bound_breaches,unfilled_orders,no_valid_plan_days,hold_without_envelope_days,official_compliance,independent_audit,research_eligible
historical_pit,mx0010,contest_2025,reset_calendar_analogue,2025-10-26,2025-11-27,0.011821959342662725,0.048623278432820105,0.24112384278122323,0.6279304113753852,0.011821959342662725,0.048623278432820105,0.24112384278122323,0.6279304113753852,1011821959.3426627,24,5654748.760661328,3409626.036928524,2245122.7237328044,2.4028018439823526,4.191128374504373,117,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,full,continuous,2025-01-02,2026-09-21,1.5547400412878787,0.25006434962154545,0.2833882949386488,2.144404038339168,1.5547400412878787,0.2485093137401735,0.2793507256901867,2.171344788293169,2554740041.2878785,417,110674611.6301856,54394431.056819364,56280180.57336625,25.98018362541757,14.26284731347206,1739,0,False,True,0,0,0,0,0,0,0,0,2,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,False
historical_pit,mx0010,m25_2025-01,reset_25_sessions,2025-01-02,2025-02-14,-0.024081659258445187,0.0545155032014103,0.17799194663586196,-1.2939374522146216,-0.024081659258445187,0.053820410478611636,0.17793154299804653,-1.2944363476785175,975918340.7415549,25,6717461.063294917,3870319.8403738565,2847141.2229210613,2.7484650799505865,4.424331293927289,146,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,m25_2025-02,reset_25_sessions,2025-02-03,2025-03-10,-0.03399688490981623,0.05334254180637776,0.09647141621571222,-3.565155740507196,-0.03399688490981623,0.05334254180637776,0.09647141621571222,-3.565155740507196,966003115.0901837,25,7238885.329207988,4109420.0799571075,3129465.2492508804,2.8860552864149462,0.45439205435847624,139,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,m25_2025-03,reset_25_sessions,2025-03-03,2025-04-08,-0.1539733623152466,0.1539733623152466,0.27924547657207754,-5.876551999753802,-0.1539733623152466,0.1539733623152466,0.27924547657207754,-5.876551999753802,846026637.6847534,25,6445893.203009477,3768580.3942994745,2677312.808710003,2.6977498233307524,3.3982837444686207,151,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,m25_2025-04,reset_25_sessions,2025-04-01,2025-05-08,-0.03098210851421046,0.1211873336538517,0.352851239323977,-0.7262625049985773,-0.03098210851421046,0.1211873336538517,0.352851239323977,-0.7262625049985773,969017891.4857895,25,4626413.254936486,2845943.0200595753,1780470.2348769102,2.0449850428877827,3.176585577758471,87,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,m25_2025-05,reset_25_sessions,2025-05-02,2025-06-06,0.04264538677905727,0.014424694941013505,0.10935187892402336,3.905030731373392,0.04264538677905727,0.014424694941013505,0.1101281621541305,3.878239533935199,1042645386.7790573,25,6166732.530831447,3653893.231704804,2512839.299126643,2.5238882429984333,2.7550646429158188,112,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,m25_2025-06,reset_25_sessions,2025-06-02,2025-07-04,0.09652722330456354,0.020337786984061523,0.1320007015811165,7.11274585757623,0.09652722330456354,0.020309558776358316,0.13256056483086262,7.083169893561497,1096527223.3045635,25,6312335.3672219,3721905.54448349,2590429.8227384104,2.5236687727883775,2.2886137394197426,136,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,m25_2025-07,reset_25_sessions,2025-07-01,2025-08-04,0.05564882356518397,0.01621780019840291,0.11723857902458464,4.717406976170886,0.05564882356518397,0.014517848150285229,0.1264905253033082,4.380924084187206,1055648823.565184,25,5005086.173868461,3017442.4248197875,1987643.7490486726,2.0781439436551423,0.5039805738396993,85,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,m25_2025-08,reset_25_sessions,2025-08-01,2025-09-04,0.12420633479366527,0.04924687342256184,0.24241852990324553,4.995996315456121,0.12420633479366527,0.04924687342256184,0.2423253778438625,4.997825978338627,1124206334.7936652,25,5954495.609692734,3547422.5746911447,2407073.0350015895,2.376267218270397,2.411589409677364,106,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
historical_pit,mx0010,m25_2025-09,reset_25_sessions,2025-09-01,2025-10-07,0.1087745959273414,0.04045998554270891,0.21961217019275042,4.854178159775607,0.1087745959273414,0.04045998554270891,0.21961217019275042,4.854178159775607,1108774595.9273415,25,6447016.6408679625,3786964.8918895307,2660051.748978432,2.591934770699725,5.816530024374031,114,0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_BLOCK_SUBMISSION,PASS,True
