decision,lr,stop,best_iteration,shrinkage,val_pearson,val_rank_ic,oos_rank_ic,oos_top25_excess,seconds
2019-01-02,0.1,pearson,20,2.0,0.05989,0.054989,0.078996,0.013626,1.347427
2019-01-02,0.05,pearson,46,2.3,0.057095,0.032701,0.057086,0.010822,1.521407
2019-01-02,0.01,pearson,2,0.02,0.056651,0.008039,-0.034061,0.009136,2.403954
2019-01-02,0.005,pearson,2,0.01,0.056651,0.008039,-0.034061,0.009136,1.395986
2019-01-02,0.001,pearson,1,0.001,0.056651,0.008039,-0.034061,0.009136,5.974646
2019-01-02,0.0005,pearson,2,0.001,0.056651,0.008039,-0.034061,0.009136,12.65248
2019-01-02,0.05,rank_ic,230,11.5,0.052286,0.040771,0.048425,0.006487,19.29791
2019-01-02,0.005,rank_ic,145,0.725,0.052472,0.056205,0.017508,0.015309,15.435272
2019-03-07,0.1,pearson,146,14.6,0.055109,0.00944,0.047525,0.008095,1.854063
2019-03-07,0.05,pearson,275,13.75,0.06267,0.01372,0.059528,0.005187,3.43322
2019-03-07,0.01,pearson,67,0.67,0.052834,0.016794,0.045512,0.011393,1.71464
2019-03-07,0.005,pearson,136,0.68,0.053241,0.019348,0.045624,0.009057,2.229492
2019-03-07,0.001,pearson,566,0.566,0.052643,0.020236,0.038898,0.012182,9.944932
2019-03-07,0.0005,pearson,1325,0.6625,0.052394,0.018087,0.042244,0.011808,23.003655
2019-03-07,0.05,rank_ic,18,0.9,0.055517,0.023918,0.032533,0.009041,11.120937
2019-03-07,0.005,rank_ic,42,0.21,0.035962,0.022101,0.03931,0.014665,12.90635
2019-05-02,0.1,pearson,4,0.4,0.074864,0.040971,-0.020344,-0.010186,1.340516
2019-05-02,0.05,pearson,158,7.9,0.080855,0.035374,-0.054234,-0.0103,2.559523
2019-05-02,0.01,pearson,58,0.58,0.077041,0.037919,-0.001863,-0.013575,2.020721
2019-05-02,0.005,pearson,388,1.94,0.076586,0.042773,-0.020199,-0.012862,3.450141
2019-05-02,0.001,pearson,573,0.573,0.076137,0.037412,-0.000532,-0.013264,9.592922
2019-05-02,0.0005,pearson,1145,0.5725,0.075995,0.038075,0.002738,-0.012609,21.285132
2019-05-02,0.05,rank_ic,7,0.35,0.077127,0.038403,-0.008376,-0.006626,10.604115
2019-05-02,0.005,rank_ic,50,0.25,0.069422,0.044309,-0.016521,-0.009814,9.868423
2019-06-24,0.1,pearson,537,53.7,0.033059,0.022197,-0.030705,0.011614,4.617467
2019-06-24,0.05,pearson,1123,56.15,0.028812,0.01203,-0.062146,0.008762,6.009285
2019-06-24,0.01,pearson,7,0.07,-0.020572,0.000509,-0.085967,-0.015164,1.39464
2019-06-24,0.005,pearson,6,0.03,-0.020867,0.000611,-0.085232,-0.015164,1.39871
2019-06-24,0.001,pearson,40,0.04,-0.021152,0.000463,-0.08594,-0.015164,7.17042
2019-06-24,0.0005,pearson,142,0.071,-0.021771,0.000771,-0.086936,-0.015164,15.835969
2019-06-24,0.05,rank_ic,2,0.1,-0.029903,0.013414,-0.082252,-0.014528,10.59181
2019-06-24,0.005,rank_ic,142,0.71,-0.039823,0.0166,-0.115701,0.003592,16.178336
2019-08-15,0.1,pearson,499,49.9,0.006961,-0.010855,-0.018574,0.006515,4.404374
2019-08-15,0.05,pearson,6,0.3,0.010747,-0.005007,-0.025538,0.005958,1.457338
2019-08-15,0.01,pearson,31,0.31,0.00362,0.002874,-0.036202,0.003268,1.614142
2019-08-15,0.005,pearson,58,0.29,0.004352,-0.008408,-0.033969,0.001866,1.897698
2019-08-15,0.001,pearson,301,0.301,0.003588,-0.003404,-0.043661,0.001469,8.850572
2019-08-15,0.0005,pearson,601,0.3005,0.002498,-0.002183,-0.041495,0.002656,16.30826
2019-08-15,0.05,rank_ic,1,0.05,-0.011386,0.017754,-0.047888,-0.001229,8.10066
2019-08-15,0.005,rank_ic,1,0.005,-0.011386,0.017754,-0.047888,-0.001229,8.353147
2019-10-14,0.1,pearson,753,75.3,0.028599,0.005928,-0.097337,-0.007276,5.826663
2019-10-14,0.05,pearson,399,19.95,0.023376,-0.002935,-0.118294,-0.006764,3.055625
2019-10-14,0.01,pearson,1,0.01,0.009514,-0.001611,-0.0752,-0.011854,1.586638
2019-10-14,0.005,pearson,2,0.01,0.01046,-0.000311,-0.0752,-0.011854,1.609256
2019-10-14,0.001,pearson,2,0.002,0.010464,-0.000311,-0.0752,-0.011854,7.437807
2019-10-14,0.0005,pearson,15,0.0075,0.0104,-0.001611,-0.0752,-0.011854,16.866258
2019-10-14,0.05,rank_ic,139,6.95,0.012378,-0.001603,-0.068392,-0.003905,15.329887
2019-10-14,0.005,rank_ic,2,0.01,0.01046,-0.000311,-0.0752,-0.011854,10.830029
2019-12-04,0.1,pearson,325,32.5,0.036667,0.006168,-0.004197,0.007872,3.143606
2019-12-04,0.05,pearson,1413,70.65,0.03014,0.010155,0.045895,0.011838,8.135047
2019-12-04,0.01,pearson,2277,22.77,0.023767,-0.002627,0.013122,0.008328,12.794379
2019-12-04,0.005,pearson,676,3.38,0.001135,-0.013962,-0.003642,0.012076,5.112958
2019-12-04,0.001,pearson,14999,14.999,0.015639,-0.015588,0.036751,0.011124,85.946061
2019-12-04,0.0005,pearson,8903,4.4515,0.003118,-0.011421,-0.010138,0.008791,58.893441
2019-12-04,0.05,rank_ic,1556,77.8,0.029222,0.010564,0.042829,0.011168,45.682727
2019-12-04,0.005,rank_ic,13,0.065,-0.009257,-0.024452,-0.022744,0.00639,7.738545
2020-02-05,0.1,pearson,442,44.2,0.019598,-0.006429,0.076291,0.002733,4.417901
2020-02-05,0.05,pearson,725,36.25,0.019779,-0.007378,0.077516,0.002334,5.049473
2020-02-05,0.01,pearson,16,0.16,0.010768,-0.041048,0.100295,0.001337,1.70835
2020-02-05,0.005,pearson,30,0.15,0.010442,-0.041028,0.099922,0.001518,1.93968
2020-02-05,0.001,pearson,152,0.152,0.010896,-0.044105,0.102128,0.00065,9.144569
2020-02-05,0.0005,pearson,303,0.1515,0.010955,-0.043848,0.102013,0.000551,19.742372
2020-02-05,0.05,rank_ic,1375,68.75,0.017328,-0.001505,0.060739,0.000789,54.286187
2020-02-05,0.005,rank_ic,259,1.295,0.002907,-0.029273,0.110744,0.00323,19.65487
2020-03-27,0.1,pearson,197,19.7,0.05973,-0.005064,0.222174,0.034172,2.258088
2020-03-27,0.05,pearson,495,24.75,0.057535,0.000652,0.206228,0.033348,4.799869
2020-03-27,0.01,pearson,587,5.87,0.0539,-0.009503,0.302475,0.04157,4.75973
2020-03-27,0.005,pearson,42,0.21,0.033853,-0.052009,0.24693,0.043431,1.919857
2020-03-27,0.001,pearson,198,0.198,0.03379,-0.050963,0.244265,0.04197,8.801587
2020-03-27,0.0005,pearson,394,0.197,0.033835,-0.052545,0.247266,0.043333,15.648078
2020-03-27,0.05,rank_ic,579,28.95,0.056868,0.003871,0.19536,0.033317,24.159808
2020-03-27,0.005,rank_ic,1,0.005,0.021526,-0.031987,0.272989,0.046713,11.113023
2020-05-22,0.1,pearson,20,2.0,0.27747,0.033977,0.077138,0.013221,1.606786
2020-05-22,0.05,pearson,35,1.75,0.290059,0.041624,0.085012,0.011041,2.48375
2020-05-22,0.01,pearson,135,1.35,0.295791,0.037233,0.062717,0.014379,2.663514
2020-05-22,0.005,pearson,324,1.62,0.294824,0.039757,0.046784,0.012359,3.606275
2020-05-22,0.001,pearson,1512,1.512,0.295576,0.038461,0.055376,0.013436,18.33478
2020-05-22,0.0005,pearson,1991,0.9955,0.295402,0.031449,0.041907,0.012046,30.862585
2020-05-22,0.05,rank_ic,137,6.85,0.272655,0.047889,0.027063,0.008561,15.60534
