decision,lr,stop,best_iteration,shrinkage,val_pearson,val_rank_ic,oos_rank_ic,oos_top25_excess,seconds
2020-05-22,0.005,rank_ic,831,4.155,0.280898,0.048412,0.030626,0.009823,39.452227
2020-07-16,0.1,pearson,10,1.0,0.28808,0.072023,0.029881,0.009067,1.214956
2020-07-16,0.05,pearson,12,0.6,0.291135,0.093586,0.04516,0.017777,1.290174
2020-07-16,0.01,pearson,102,1.02,0.293697,0.077445,0.033297,0.00243,1.895763
2020-07-16,0.005,pearson,183,0.915,0.293708,0.080917,0.023973,0.005773,2.389734
2020-07-16,0.001,pearson,966,0.966,0.29464,0.081198,0.033282,0.006986,12.678106
2020-07-16,0.0005,pearson,1932,0.966,0.294598,0.080477,0.032696,0.006645,28.240044
2020-07-16,0.05,rank_ic,13,0.65,0.289819,0.094589,0.04105,0.013556,10.770911
2020-07-16,0.005,rank_ic,142,0.71,0.291075,0.085405,0.026446,0.009844,15.487038
2020-09-07,0.1,pearson,12,1.2,0.266814,0.070008,0.043667,0.014051,1.529078
2020-09-07,0.05,pearson,23,1.15,0.2729,0.084647,0.001784,0.011702,1.627139
2020-09-07,0.01,pearson,137,1.37,0.268176,0.0864,0.025612,0.01223,2.800636
2020-09-07,0.005,pearson,244,1.22,0.268656,0.086216,0.030647,0.012026,3.68862
2020-09-07,0.001,pearson,1261,1.261,0.268636,0.086201,0.028124,0.011526,16.829553
2020-09-07,0.0005,pearson,2468,1.234,0.268637,0.08623,0.027531,0.012039,32.82938
2020-09-07,0.05,rank_ic,110,5.5,0.254898,0.093785,0.011361,0.007468,13.639572
2020-09-07,0.005,rank_ic,767,3.835,0.257216,0.099925,0.018058,0.009045,29.158835
2020-10-30,0.1,pearson,21,2.1,0.246517,0.09742,0.068329,0.013284,1.629721
2020-10-30,0.05,pearson,22,1.1,0.262318,0.099616,0.079793,0.020036,1.653224
2020-10-30,0.01,pearson,112,1.12,0.261067,0.108192,0.074569,0.018709,2.500188
2020-10-30,0.005,pearson,226,1.13,0.259145,0.106036,0.076782,0.019792,3.365076
2020-10-30,0.001,pearson,1166,1.166,0.260124,0.109422,0.080433,0.020615,15.54982
2020-10-30,0.0005,pearson,2315,1.1575,0.259944,0.10894,0.078659,0.022166,30.866655
2020-10-30,0.05,rank_ic,122,6.1,0.249617,0.1103,0.128824,0.02588,13.82998
2020-10-30,0.005,rank_ic,311,1.555,0.257543,0.1086,0.092186,0.017361,17.928542
2020-12-22,0.1,pearson,37,3.7,0.067492,0.011776,-0.026348,-0.000625,1.457538
2020-12-22,0.05,pearson,57,2.85,0.069849,-0.00069,0.021623,0.001107,1.608861
2020-12-22,0.01,pearson,237,2.37,0.063422,0.003059,0.011672,-0.005469,2.805619
2020-12-22,0.005,pearson,654,3.27,0.064813,0.011688,0.013113,0.002019,5.294442
2020-12-22,0.001,pearson,3220,3.22,0.065152,0.012566,0.01312,-0.00064,31.613084
2020-12-22,0.0005,pearson,6655,3.3275,0.065325,0.013046,0.010713,0.001871,57.15297
2020-12-22,0.05,rank_ic,1534,76.7,0.06146,0.02992,-0.00883,-0.003988,46.020955
2020-12-22,0.005,rank_ic,1038,5.19,0.059478,0.015578,-0.003361,-0.000352,33.796723
2021-02-23,0.1,pearson,1,0.1,-0.012539,0.003052,0.089205,0.011763,1.275385
2021-02-23,0.05,pearson,16,0.8,-0.004805,0.005863,0.039538,0.007723,1.378225
2021-02-23,0.01,pearson,63,0.63,-0.008765,0.00176,0.032359,0.008205,1.962593
2021-02-23,0.005,pearson,112,0.56,-0.007985,0.005943,0.032749,0.008438,2.36245
2021-02-23,0.001,pearson,838,0.838,-0.007964,0.003149,0.053567,0.007311,15.034618
2021-02-23,0.0005,pearson,1111,0.5555,-0.008352,0.004493,0.032092,0.008748,27.160519
2021-02-23,0.05,rank_ic,6,0.3,-0.006444,0.008707,0.074438,0.010757,10.391421
2021-02-23,0.005,rank_ic,7,0.035,-0.01033,0.006319,0.094115,0.013402,10.801931
2021-04-21,0.1,pearson,6,0.6,0.060068,0.048861,-0.004881,0.005959,1.5917
2021-04-21,0.05,pearson,3,0.15,0.08069,0.05768,0.029204,0.005632,1.749949
2021-04-21,0.01,pearson,23,0.23,0.07698,0.053153,0.02236,0.004946,2.284535
2021-04-21,0.005,pearson,41,0.205,0.076829,0.058681,0.008723,0.00371,2.346405
2021-04-21,0.001,pearson,353,0.353,0.076227,0.048101,0.007016,0.004678,12.28157
2021-04-21,0.0005,pearson,661,0.3305,0.076548,0.05307,0.006143,0.003488,24.398963
2021-04-21,0.05,rank_ic,3,0.15,0.08069,0.05768,0.029204,0.005632,10.20826
2021-04-21,0.005,rank_ic,41,0.205,0.076829,0.058681,0.008723,0.00371,12.285265
2021-06-15,0.1,pearson,1,0.1,0.123215,0.058157,0.076697,0.015816,1.421581
2021-06-15,0.05,pearson,45,2.25,0.130903,0.083082,0.104447,0.019457,1.778751
2021-06-15,0.01,pearson,274,2.74,0.131292,0.083415,0.107625,0.0136,4.073419
2021-06-15,0.005,pearson,23,0.115,0.131434,0.092502,0.102935,0.019565,2.106449
2021-06-15,0.001,pearson,2655,2.655,0.132056,0.083169,0.101223,0.015101,28.457104
2021-06-15,0.0005,pearson,5374,2.687,0.131957,0.08267,0.104391,0.014797,49.628167
2021-06-15,0.05,rank_ic,37,1.85,0.126198,0.08742,0.110592,0.021339,8.792237
2021-06-15,0.005,rank_ic,23,0.115,0.131434,0.092502,0.102935,0.019565,8.705817
2021-08-04,0.1,pearson,9,0.9,0.111163,0.076846,-0.022379,-0.006895,1.484679
2021-08-04,0.05,pearson,31,1.55,0.112351,0.077086,-0.033771,-0.005554,1.677858
2021-08-04,0.01,pearson,170,1.7,0.114896,0.079142,-0.055933,-0.006376,2.929714
2021-08-04,0.005,pearson,261,1.305,0.113785,0.081572,-0.059411,-0.008478,3.791284
2021-08-04,0.001,pearson,1284,1.284,0.113226,0.081325,-0.056403,-0.008174,15.377318
2021-08-04,0.0005,pearson,3549,1.7745,0.113441,0.0809,-0.060655,-0.008473,34.659118
2021-08-04,0.05,rank_ic,58,2.9,0.10077,0.079724,-0.04941,-0.003877,9.380929
2021-08-04,0.005,rank_ic,247,1.235,0.113079,0.082355,-0.058093,-0.007605,14.608733
2021-09-28,0.1,pearson,16,1.6,0.077051,0.037972,0.037888,0.015561,1.4971
2021-09-28,0.05,pearson,12,0.6,0.065336,0.044094,0.071324,0.014975,1.489714
2021-09-28,0.01,pearson,143,1.43,0.06524,0.040599,0.032877,0.018552,2.719088
2021-09-28,0.005,pearson,287,1.435,0.062335,0.03745,0.046536,0.017212,3.897963
2021-09-28,0.001,pearson,1418,1.418,0.063335,0.039044,0.045963,0.016755,17.421586
2021-09-28,0.0005,pearson,2834,1.417,0.063098,0.039258,0.045997,0.017404,30.482515
2021-09-28,0.05,rank_ic,3,0.15,0.044971,0.044452,0.05691,0.01441,7.854912
2021-09-28,0.005,rank_ic,3,0.015,0.040602,0.044558,0.027309,0.012096,8.149326
2021-11-19,0.1,pearson,16,1.6,0.067831,0.025339,0.012873,0.006889,1.210671
2021-11-19,0.05,pearson,26,1.3,0.075463,0.033414,0.008556,0.009274,1.342302
2021-11-19,0.01,pearson,119,1.19,0.067838,0.02795,0.007906,0.00651,2.112875
2021-11-19,0.005,pearson,274,1.37,0.070266,0.026474,0.005039,0.007024,3.192204
2021-11-19,0.001,pearson,1327,1.327,0.068634,0.026061,0.005885,0.006858,15.009733
2021-11-19,0.0005,pearson,2776,1.388,0.069612,0.025405,0.004947,0.007284,29.59686
2021-11-19,0.05,rank_ic,26,1.3,0.075463,0.033414,0.008556,0.009274,8.508725
2021-11-19,0.005,rank_ic,240,1.2,0.069296,0.028308,0.004668,0.006644,14.266397
