date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2017-07-03,997322323.6208901,997322323.6208901,97942533.62089011,0.09820549615825183,22,0.0,0,1283602.7556634108,0.0,1283602.7556634108,900773863.6234462,0.9007738636234462,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-04,979473032.8297503,979473032.8297503,64592432.82975033,0.06594610639063672,22,0.0,0,146987.50380175782,105076.63323121642,252064.13703297422,103149125.47491775,0.10342606701153878,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-05,982569616.0902992,985670613.5413381,76652506.09029925,0.07801229025919197,22,3100997.451038779,0,182814.8416423574,211117.68409243334,393932.5257347907,128291116.9420052,0.1309797336342842,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-06,980761161.1773438,988253517.5373826,65432581.177343786,0.06671612189332209,22,7492356.36003878,0,177375.68213846962,170403.02504762978,347778.7071860994,124474162.9041892,0.12668228374441196,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-07,967811923.0070723,975304279.3671111,64377413.00707237,0.06651851612557777,22,7492356.36003878,0,165545.65030841186,173183.9213741292,338729.57168254105,116172386.18134166,0.1184512507019383,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-10,972545208.4415337,980037564.8015724,21834738.441533692,0.022451129522835265,22,7492356.36003878,0,112612.38702809309,54976.7265885307,167589.1136166238,79026236.51094252,0.08165453910239234,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-11,977489101.2378358,987870358.1816916,62307811.23783572,0.06374271708905266,22,10381256.94385586,0,113407.45384185093,180526.77774377985,293934.2315856308,79584178.13463223,0.0818308264169671,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-12,984141516.7643776,996994139.7562335,64993046.76437761,0.06604034649209722,22,12852622.99185586,0,157415.04379458222,170219.35098153722,327634.39477611944,110466697.39970681,0.11301066913157207,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-13,991607131.3209298,1004459754.3127856,38440871.320929825,0.038766231208646466,22,12852622.99185586,0,130590.80569033806,97978.59692858624,228569.4026189243,91642670.65988636,0.09311940315371064,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-14,991246205.5439347,1004098828.5357906,44756885.543934725,0.045152138079938384,22,12852622.99185586,0,113445.96765964689,129254.88066978772,242700.8483294346,79611205.3751908,0.08028502706423653,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-17,985314847.2730817,998167470.2649375,18717037.273081683,0.01899599638113869,22,12852622.99185586,0,80358.25825043353,45716.980715784004,126075.23896621753,56391760.17574283,0.056889761454167194,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-18,1006222187.4616567,1020834310.4535125,56891557.461656734,0.056539756497691676,22,14612122.99185586,0,103663.19181987725,166786.6042610653,270449.79608094256,72746099.52272087,0.07383030888456628,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-19,1005277036.5595262,1019889159.5513821,68960196.55952623,0.06859820134312085,22,14612122.99185586,0,168090.57370852388,195585.9193954327,363676.49310395657,117958297.339315,0.11722887728890388,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-20,1012363588.9850292,1027839711.9768851,73751298.98502924,0.07285060405913103,22,15476122.99185586,0,184718.73354432895,202207.81561391705,386926.549158246,129627181.4346168,0.12894672485333458,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-21,1009217513.285492,1024693636.2773478,54721823.28549196,0.0542220309944344,22,15476122.99185586,0,155704.6822340077,135792.69803057276,291497.3802645805,109266443.67298785,0.107932016581647,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-24,1008743894.0417064,1024220017.0335623,66012214.0417064,0.06544001349759558,22,15476122.99185586,0,156932.11098358798,182636.6350255332,339568.7460091212,110127797.18146524,0.10912196402829545,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-25,1015199315.0822097,1030675438.0740656,14542735.082209691,0.014325004820390405,22,15476122.99185586,0,102016.05958341986,30379.70107903267,132395.76066245252,71590217.2515227,0.07096966601174075,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-26,1018690305.4000899,1034166428.3919457,60132365.40008987,0.05902909361297291,22,15476122.99185586,0,105688.97259047446,180064.62596989708,285753.59856037155,74167700.06349084,0.07305727945402014,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-27,1023386995.0086173,1040444340.0604731,71723355.0086173,0.07008429397523598,22,17057345.05185586,0,172036.14153308177,199033.76456992645,371069.9061030082,120727116.86532053,0.11851208971494535,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-28,1001958912.3781527,1019016257.4300085,79393412.37815273,0.0792381917036021,22,17057345.05185586,0,196249.025370211,218705.43919347605,414954.46456368704,137718614.2948849,0.13457139378024366,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-07-31,999462528.0314415,1016519873.0832973,67480808.03144145,0.06751709657825072,22,17057345.05185586,0,186319.73979986442,178804.82221755336,365124.56201741775,130750694.59639609,0.130495066195937,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-08-01,1002052227.1696621,1019109572.2215179,46911027.16966212,0.046814952252702685,22,17057345.05185586,0,143544.6722749606,120641.2626359717,264185.9349109323,100733103.35084954,0.10078727368524279,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-08-02,1011613861.3047675,1028671206.3566233,46241871.304767504,0.045710990204429675,22,17057345.05185586,0,123358.70563232701,129226.4129672174,252585.1185995444,86567512.72444001,0.08639022036700973,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2017-08-03,1018378404.4767231,1018378404.4767231,54386549.42486724,0.05340504981820866,22,0.0,0,137215.6525278665,157096.0136561272,294311.6661839937,96291685.98446772,0.09518620658308483,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,17057345.05185586
