date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2014-10-20,2014-10-17,1101.TW,1101.TW,1000,45.69640405309183,45696.404053091836,65.11737577565587,0.0,0.0,0.0005489911464197817,1821523.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2002.TW,2002.TW,1000,25.463533099056797,25463.533099056796,36.28553466615594,0.0,0.0,8.155178697498897e-05,12262147.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2059.TW,2059.TW,256000,392.04861849912027,100364446.3357748,143019.3360284791,0.0,0.0,0.6546912721469782,391024.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2412.TW,2412.TW,1000,91.23824334963103,91238.24334963104,130.01449677322424,0.0,0.0,0.00022391060772025863,4466068.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2603.TW,2603.TW,1000,17.830507708732103,17830.507708732104,25.40847348494325,0.0,0.0,0.0001276406945083357,7834492.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2610.TW,2610.TW,9987000,10.164965308300447,101517508.53399657,144662.4496609451,0.0,0.0,0.7075355404304808,14115192.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2615.TW,2615.TW,4498000,22.369352504743084,100617347.5663344,143379.7202820265,0.0,0.0,1.1249347872952897,3998454.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2801.TW,2801.TW,5548000,18.048024816286045,100130441.68075497,142685.87939507584,0.0,0.0,0.3352311031139574,16549777.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2812.TW,2812.TW,7645000,10.084010299551972,77092258.74007483,109856.46870460664,0.0,0.0,2.3532598574500145,3248685.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2880.TW,2880.TW,1000,17.327458981319076,17327.458981319076,24.691629048379685,0.0,0.0,0.00018170159546719933,5503529.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2884.TW,2884.TW,1000,18.52484518421934,18524.845184219343,26.397904387512565,0.0,0.0,0.00013415869551597367,7453859.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,2892.TW,2892.TW,1000,18.088549559606747,18088.54955960675,25.77618312243962,0.0,0.0,9.81060720889304e-05,10193049.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
2014-10-20,2014-10-17,3034.TW,3034.TW,537000,151.5221031326188,81367369.3822163,115948.50136965823,0.0,0.0,0.24702148212889277,2173900.0,ACTIVE_CAP:2059.TW;ACTIVE_CAP:2610.TW;ACTIVE_CAP:2801.TW;ACTIVE_CAP:6023.TWO
