date,symbol,open,high,low,close,adj_close,volume,dividend,split_ratio,split,future_split_factor,vendor_repaired,valid_price,tradable,action_neutral_return,quality_flags,valid_for_research,signal_price,return20,return50,return1,ema20,ema50,ema100,ema200,volume_ratio,volatility_ratio,macd_hist,signal_history_valid_sessions,ready,trend,long_trend,signal_available,signal_history_reset,signal_history_segment,score,entry_ok,exit,plan_reason
2025-06-30,2360.TW,432.5,449.5,427.0,442.5,438.7887268066406,6354611.0,0.0,1.0,1.0,1.0,False,True,True,0.030267753201397074,,True,832.8139196342867,0.28214285714285703,0.3508290816326536,0.030267753201397074,740.1075840809558,669.9019736813814,626.0601038545861,616.6911850883624,2.177432244361672,1.2254371671718989,15.68820346394719,4036.0,True,1.0,1.0,True,False,0,0.9814093959731544,True,False,BUY_CASH_CAP_CORRECTION
2025-06-30,3211.TWO,223.0,229.5,222.5,226.0,219.64898681640625,9534654.0,0.0,1.0,1.0,1.0,False,True,True,0.0,,True,813.5988973547677,0.23160762942779312,0.17856079450208906,0.0,759.1574522714836,701.5701390576321,637.3754255497207,571.5101488936813,2.625174768503158,1.59195679783747,13.760965329598662,4034.0,True,1.0,1.0,True,False,0,0.9722147651006711,False,False,BUY_CASH_CAP_CORRECTION
2025-06-30,3661.TW,3050.0,3100.0,3000.0,3095.0,3042.179931640625,3232712.0,0.0,1.0,1.0,1.0,False,True,True,0.03166666666666673,,True,3433.993179482831,0.17457305502846276,0.13369963369963367,0.03166666666666673,3212.5866899986904,3091.271316533443,3017.120607800894,3002.9276896034735,1.5478435000324484,0.9427301954480743,30.439112362638838,3102.0,True,1.0,1.0,True,False,0,0.9291275167785233,True,False,BUY_CASH_CAP_CORRECTION
2025-06-30,3363.TWO,287.0,287.5,272.5,273.5,273.5,2861867.0,0.0,1.0,1.0,1.0,False,True,True,-0.038664323374341,,True,415.8251809199674,0.10505050505050506,0.19693654266958527,-0.03866432337434089,412.3708859463229,383.7498005237265,368.0309158854981,345.3251252202129,1.8716082508353622,2.010482227888242,0.1160192160518605,3500.0,True,1.0,1.0,True,False,1,0.9259060402684564,False,False,BUY_CASH_CAP_CORRECTION
2025-06-30,6919.TW,1345.0,1355.0,1265.0,1345.0,134.5,2120423.0,0.0,1.0,1.0,10.0,False,True,True,0.0074906367041198685,,True,1344.9999999999982,0.3383084577114426,0.6224366408245847,0.0074906367041200905,1230.1149584120517,1060.1098029564937,867.7377854364544,753.3021794894677,1.0597825120073405,1.1105407214795857,7.837318891543845,301.0,True,1.0,1.0,True,False,1,0.9146308724832214,True,False,BUY_CASH_CAP_CORRECTION
2025-06-30,3036.TW,128.5,131.5,126.5,128.5,124.93537139892578,15252323.0,5.998001,1.0,1.0,1.0,False,True,True,0.0074756629213481585,,True,428.6468033977665,0.06744445238095231,0.11155372727272694,0.0074756629213481585,418.7124466278007,402.39556019883224,371.91264089520416,363.3510070796871,2.647554206278998,1.7744360807850723,1.1636973228853584,4036.0,True,1.0,1.0,True,False,0,0.9077181208053691,False,False,BUY_CASH_CAP_CORRECTION
2025-06-30,7828.TWO,397.0,397.0,370.0,,380.36920166015625,454857.0,0.0,1.0,1.0,1.0,False,True,True,-0.03037974683544309,,True,383.0000000000001,0.3851717902350815,0.8592233009708741,-0.030379746835442978,354.66770668085337,300.9482262431594,,,1.5832367313426914,1.0238603831108586,4.518911847215826,37.0,False,1.0,0.0,True,False,0,0.8870469798657717,False,False,BUY_CASH_CAP_CORRECTION
2025-06-30,4991.TWO,114.5,114.5,108.0,109.0,109.0,11892590.0,0.0,1.0,1.0,1.0,False,True,True,-0.04385964912280704,,True,187.4915629236008,0.09768375277074615,0.1834962193905756,-0.043859649122807154,183.05278132711084,166.1097886587374,167.89730704620095,155.96013268976904,1.286428746253977,1.3081571713332616,0.7502752905650745,3150.0,True,1.0,1.0,True,False,0,0.8864429530201342,True,False,BUY_CASH_CAP_CORRECTION
2025-06-30,3443.TW,1330.0,1340.0,1300.0,1305.0,1299.0816650390625,2465732.0,0.0,1.0,1.0,1.0,False,True,True,0.0,,True,1965.1121460366257,0.21962616822429926,0.14615654615654594,0.0,1793.3222099716693,1717.0493527895605,1723.052132444521,1785.4903109604613,2.228727370388293,1.1570352887030422,37.4637962104102,4036.0,True,1.0,0.0,True,False,0,0.8741610738255032,True,False,BUY_CASH_CAP_CORRECTION
2025-06-30,7769.TW,1390.0,1435.0,1375.0,,1367.903076171875,1698874.0,0.0,1.0,1.0,1.0,False,True,True,0.021818181818181737,,True,1405.0000000000011,0.18565400843881852,0.46354166666666674,0.021818181818181737,1301.4601422478545,1152.0405730954951,,,1.4824950369887313,0.7467821026164924,5.2111541547597255,58.0,False,1.0,0.0,True,False,1,0.8596644295302013,False,False,BUY_CASH_CAP_CORRECTION
