signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2026-07-31,1101.TW,1867000,1000000000.0,24.299999237060547,BUY_CASH_CAP_CORRECTION,1867000.0,0.04538024857521057,0.0
2026-07-31,2207.TW,81000,1000000000.0,558.0,BUY_CASH_CAP_CORRECTION,81000.0,0.045477,0.0
2026-07-31,2395.TW,80000,1000000000.0,563.0,BUY_CASH_CAP_CORRECTION,80000.0,0.0453215,0.0
2026-07-31,2412.TW,325000,1000000000.0,139.5,BUY_CASH_CAP_CORRECTION,325000.0,0.04540725,0.0
2026-07-31,2610.TW,2026000,1000000000.0,22.39999961853028,BUY_CASH_CAP_CORRECTION,2026000.0,0.04539359922695161,0.0
2026-07-31,2615.TW,535000,1000000000.0,84.69999694824219,BUY_CASH_CAP_CORRECTION,535000.0,0.04535684836578369,0.0
2026-07-31,2618.TW,1048000,1000000000.0,43.29999923706055,BUY_CASH_CAP_CORRECTION,1048000.0,0.04540004920005799,0.0
2026-07-31,2801.TW,1800000,1000000000.0,25.199999427795408,BUY_CASH_CAP_CORRECTION,1800000.0,0.04537259896974563,0.0
2026-07-31,2834.TW,2493000,1000000000.0,18.1999981880188,BUY_CASH_CAP_CORRECTION,2493000.0,0.04538169548182488,0.0
2026-07-31,2880.TW,1038000,1000000000.0,43.69999961853027,BUY_CASH_CAP_CORRECTION,1038000.0,0.04538244960384369,0.0
2026-07-31,2884.TW,1174000,1000000000.0,38.650001525878906,BUY_CASH_CAP_CORRECTION,1174000.0,0.045394426792144775,0.0
2026-07-31,2886.TW,854000,1000000000.0,53.09999847412109,BUY_CASH_CAP_CORRECTION,854000.0,0.04537394869613647,0.0
2026-07-31,2892.TW,1234000,1000000000.0,36.75,BUY_CASH_CAP_CORRECTION,1234000.0,0.045367875,0.0
2026-07-31,3293.TWO,58000,1000000000.0,776.0,BUY_CASH_CAP_CORRECTION,58000.0,0.045396,0.0
2026-07-31,4904.TW,432000,1000000000.0,105.0,BUY_CASH_CAP_CORRECTION,432000.0,0.0454125,0.0
2026-07-31,5876.TW,998000,1000000000.0,45.45000076293945,BUY_CASH_CAP_CORRECTION,998000.0,0.04538182576179504,0.0
2026-07-31,5880.TW,1644000,1000000000.0,27.5999990940094,BUY_CASH_CAP_CORRECTION,1644000.0,0.04538819851009846,0.0
2026-07-31,5903.TWO,239000,1000000000.0,189.5,BUY_CASH_CAP_CORRECTION,239000.0,0.04538525,0.0
2026-07-31,8069.TWO,240000,1000000000.0,189.0,BUY_CASH_CAP_CORRECTION,240000.0,0.0454545,0.0
2026-07-31,8415.TWO,1226000,1000000000.0,37.0,BUY_CASH_CAP_CORRECTION,1226000.0,0.0453805,0.0
2026-08-03,2451.TW,3000,999527754.3073705,281.0,BUY_CASH_CAP_CORRECTION,3000.0,0.000983964673078561,0.0
2026-08-04,1101.TW,-1867000,994797270.3322448,23.549999237060547,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-05,2301.TW,44000,997760055.3691456,249.0,BUY_CASH_CAP_CORRECTION,44000.0,0.011105375426059223,0.0
2026-08-05,2451.TW,36000,997760055.3691456,282.5,BUY_CASH_CAP_CORRECTION,39000.0,0.011183801095215773,0.0
2026-08-05,3231.TW,57000,997760055.3691456,193.0,BUY_CASH_CAP_CORRECTION,57000.0,0.011122413590604417,0.0
2026-08-05,6669.TW,1000,997760055.3691456,6175.000376051147,BUY_CASH_CAP_CORRECTION,1000.0,0.009283294630039917,0.0
2026-08-06,2412.TW,-325000,992912064.2583103,137.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-06,4904.TW,-432000,992912064.2583103,102.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-07,2301.TW,66000,997772433.5413574,247.0,BUY_CASH_CAP_CORRECTION,110000.0,0.027354433819270968,0.0
2026-08-07,2451.TW,52000,997772433.5413574,297.0,BUY_CASH_CAP_CORRECTION,91000.0,0.02723617037959947,0.0
2026-08-07,3231.TW,91000,997772433.5413574,183.5,BUY_CASH_CAP_CORRECTION,148000.0,0.02731058614566395,0.0
2026-08-07,3653.TW,6000,997772433.5413574,4380.0,BUY_CASH_CAP_CORRECTION,6000.0,0.028533560402097365,0.0
2026-08-07,6669.TW,3000,997772433.5413574,6100.000129726025,BUY_CASH_CAP_CORRECTION,4000.0,0.027511283796787033,0.0
2026-08-10,5876.TW,-998000,991039325.452158,43.34999847412109,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-10,8069.TWO,-240000,991039325.452158,176.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-11,1605.TW,484000,975484456.7316015,38.3,BUY_WITH_SETTLED_CASH,484000.0,0.019022701870795328,0.0
2026-08-11,2059.TW,1000,975484456.7316015,12315.0,BUY_WITH_SETTLED_CASH,1000.0,0.018936744581141588,0.0
2026-08-11,2408.TW,37000,975484456.7316015,489.0,BUY_WITH_SETTLED_CASH,37000.0,0.018798351807101574,0.0
2026-08-11,3081.TWO,7000,975484456.7316015,2480.0,BUY_WITH_SETTLED_CASH,7000.0,0.019067448867734933,0.0
2026-08-11,7750.TW,7000,975484456.7316015,2355.0,BUY_WITH_SETTLED_CASH,7000.0,0.018106387936901516,0.0
2026-08-12,2207.TW,-81000,980261696.6180854,504.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-12,2610.TW,-2026000,980261696.6180854,20.25,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-13,1605.TW,144000,977507203.0638945,39.3,BUY_CASH_CAP_CORRECTION,628000.0,0.025268407150945044,0.0
2026-08-13,2059.TW,1000,977507203.0638945,12235.0,BUY_CASH_CAP_CORRECTION,2000.0,0.031291329520771474,0.0
2026-08-13,2408.TW,11000,977507203.0638945,514.0,BUY_CASH_CAP_CORRECTION,48000.0,0.025502625373872077,0.0
2026-08-13,3081.TWO,2000,977507203.0638945,2665.0,BUY_CASH_CAP_CORRECTION,9000.0,0.025900064900437492,0.0
2026-08-13,4979.TWO,43000,977507203.0638945,564.0,BUY_CASH_CAP_CORRECTION,43000.0,0.025098536279938126,0.0
2026-08-13,6770.TW,329000,977507203.0638945,74.9,BUY_CASH_CAP_CORRECTION,329000.0,0.025247435438475054,0.0
2026-08-13,7750.TW,3000,977507203.0638945,2360.0,BUY_CASH_CAP_CORRECTION,10000.0,0.025350196829578002,0.0
2026-08-14,2618.TW,-1048000,976109556.1498361,39.900001525878906,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-14,3293.TWO,-58000,976109556.1498361,750.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-17,1605.TW,190000,989235709.8491428,38.5,BUY_CASH_CAP_CORRECTION,818000.0,0.03185514805647845,0.0
2026-08-17,2301.TW,9000,989235709.8491428,263.5,BUY_CASH_CAP_CORRECTION,119000.0,0.0318308869023763,0.0
2026-08-17,2408.TW,12000,989235709.8491428,524.0,BUY_CASH_CAP_CORRECTION,60000.0,0.032046962806098575,0.0
2026-08-17,2451.TW,17000,989235709.8491428,290.0,BUY_CASH_CAP_CORRECTION,108000.0,0.03180738390933984,0.0
2026-08-17,3081.TWO,2000,989235709.8491428,2790.0,BUY_CASH_CAP_CORRECTION,11000.0,0.03243413039031205,0.0
2026-08-17,3231.TW,20000,989235709.8491428,187.0,BUY_CASH_CAP_CORRECTION,168000.0,0.03185236813257091,0.0
2026-08-17,4979.TWO,14000,989235709.8491428,545.0,BUY_CASH_CAP_CORRECTION,57000.0,0.031678496528172166,0.0
2026-08-17,6770.TW,93000,989235709.8491428,74.6,BUY_CASH_CAP_CORRECTION,422000.0,0.031861466065359216,0.0
2026-08-17,7750.TW,3000,989235709.8491428,2405.0,BUY_CASH_CAP_CORRECTION,13000.0,0.03282079253381507,0.0
2026-08-17,8046.TW,24000,989235709.8491428,1295.0,BUY_CASH_CAP_CORRECTION,24000.0,0.03207274028233211,0.0
2026-08-18,2451.TW,-108000,989904135.200215,280.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-18,2886.TW,-854000,989904135.200215,46.900001525878906,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-18,3231.TW,-168000,989904135.200215,181.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-19,1605.TW,112000,983098982.4798548,36.8,BUY_CASH_CAP_CORRECTION,930000.0,0.03483108070524494,0.0
2026-08-19,2301.TW,6000,983098982.4798548,273.5,BUY_CASH_CAP_CORRECTION,125000.0,0.0349143378354614,0.0
2026-08-19,2408.TW,11000,983098982.4798548,481.0,BUY_CASH_CAP_CORRECTION,71000.0,0.03498274396871806,0.0
2026-08-19,2603.TW,142000,983098982.4798548,240.5,BUY_CASH_CAP_CORRECTION,142000.0,0.03486042668211415,0.0
2026-08-19,3081.TWO,1000,983098982.4798548,2680.0,BUY_CASH_CAP_CORRECTION,12000.0,0.03407591768175436,0.0
2026-08-19,4979.TWO,7000,983098982.4798548,529.0,BUY_CASH_CAP_CORRECTION,64000.0,0.03470708505254625,0.0
2026-08-19,6187.TWO,26000,983098982.4798548,1305.0,BUY_CASH_CAP_CORRECTION,26000.0,0.03517702755908269,0.0
2026-08-19,6669.TW,1000,983098982.4798548,6375.000547437231,BUY_CASH_CAP_CORRECTION,5000.0,0.03566528257659269,0.0
2026-08-19,8046.TW,5000,983098982.4798548,1180.0,BUY_CASH_CAP_CORRECTION,29000.0,0.03540843864184684,0.0
2026-08-20,2884.TW,-1174000,989894159.5488807,37.34999847412109,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-20,2892.TW,-1234000,989894159.5488807,33.29999923706055,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2026-08-21,1605.TW,170000,990599409.9495822,37.3,BUY_CASH_CAP_CORRECTION,1100000.0,0.04143819346923417,0.0
2026-08-21,2059.TW,1000,990599409.9495822,13385.0,BUY_CASH_CAP_CORRECTION,3000.0,0.047292073394617065,0.0
2026-08-21,2301.TW,32000,990599409.9495822,261.0,BUY_CASH_CAP_CORRECTION,157000.0,0.041497601943950496,0.0
2026-08-21,2408.TW,6000,990599409.9495822,528.0,BUY_CASH_CAP_CORRECTION,77000.0,0.04130832260649406,0.0
