track,symbol,first_daily,first_h4,h4_before2025,daily_before2025,first_data_ready_signal_date,live_quote_rows,live_missing_4h_rows
historical_pit,2330.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2317.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,3
historical_pit,2454.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2881.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2308.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2382.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2882.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2412.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2891.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,3711.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2886.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2303.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,6669.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2603.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,1216.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2357.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2885.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2345.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2884.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,3
historical_pit,3045.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2892.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,5880.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
historical_pit,2880.TW,2024-01-02,2024-10-01,62,242,2024-12-13,417,2
