signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2025-10-31,2301.TW,254000,1000000000.0,179.5,BUY_CASH_CAP_CORRECTION,254000.0,0.04568275,0.0
2025-10-31,2317.TW,177000,1000000000.0,257.5,BUY_CASH_CAP_CORRECTION,177000.0,0.04570625,0.0
2025-10-31,2327.TW,183000,1000000000.0,249.0,BUY_CASH_CAP_CORRECTION,183000.0,0.0456915,0.0
2025-10-31,2337.TW,1465000,1000000000.0,31.2,BUY_CASH_CAP_CORRECTION,1465000.0,0.0457236,0.0
2025-10-31,2360.TW,55000,1000000000.0,819.0,BUY_CASH_CAP_CORRECTION,55000.0,0.0454545,0.0
2025-10-31,2408.TW,345000,1000000000.0,132.5,BUY_CASH_CAP_CORRECTION,345000.0,0.04577875,0.0
2025-10-31,3017.TW,32000,1000000000.0,1425.0,BUY_CASH_CAP_CORRECTION,32000.0,0.0463125,0.0
2025-10-31,3044.TW,133000,1000000000.0,341.5,BUY_CASH_CAP_CORRECTION,133000.0,0.04559025,0.0
2025-10-31,3163.TWO,189000,1000000000.0,241.0,BUY_CASH_CAP_CORRECTION,189000.0,0.0456695,0.0
2025-10-31,3231.TW,303000,1000000000.0,150.5,BUY_CASH_CAP_CORRECTION,303000.0,0.04567675,0.0
2025-10-31,3665.TW,32000,1000000000.0,1395.0,BUY_CASH_CAP_CORRECTION,32000.0,0.0453375,0.0
2025-10-31,4979.TWO,224000,1000000000.0,204.0,BUY_CASH_CAP_CORRECTION,224000.0,0.045798,0.0
2025-10-31,6239.TW,264000,1000000000.0,173.0,BUY_CASH_CAP_CORRECTION,264000.0,0.0457585,0.0
2025-10-31,6290.TWO,243000,1000000000.0,188.0,BUY_CASH_CAP_CORRECTION,243000.0,0.045778,0.0
2025-10-31,6515.TW,17000,1000000000.0,2630.0,BUY_CASH_CAP_CORRECTION,17000.0,0.046025,0.0
2025-10-31,6584.TWO,162000,1000000000.0,281.0,BUY_CASH_CAP_CORRECTION,162000.0,0.0456625,0.0
2025-10-31,6669.TW,10000,1000000000.0,4364.999990161267,BUY_CASH_CAP_CORRECTION,10000.0,0.0458324998966933,0.0
2025-10-31,6770.TW,1451000,1000000000.0,31.5,BUY_CASH_CAP_CORRECTION,1451000.0,0.04572225,0.0
2025-10-31,8210.TW,49000,1000000000.0,927.0,BUY_CASH_CAP_CORRECTION,49000.0,0.0458865,0.0
2025-10-31,8299.TWO,42000,1000000000.0,1065.0,BUY_CASH_CAP_CORRECTION,42000.0,0.0452625,0.0
2025-11-03,2449.TW,3000,997678873.3768672,223.99999465942383,BUY_CASH_CAP_CORRECTION,3000.0,0.0007858239782650305,0.0
2025-11-04,6770.TW,-1451000,965536240.574847,29.05,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-11-05,2368.TW,10000,967275689.4734066,464.5,BUY_CASH_CAP_CORRECTION,10000.0,0.005042254295313901,0.0
2025-11-05,2383.TW,3000,967275689.4734066,1440.0,BUY_CASH_CAP_CORRECTION,3000.0,0.005210510358989608,0.0
2025-11-05,2449.TW,18000,967275689.4734066,220.5,BUY_CASH_CAP_CORRECTION,21000.0,0.0049011363064246,0.0
2025-11-05,3711.TW,19000,967275689.4734066,235.0,BUY_CASH_CAP_CORRECTION,19000.0,0.004737532484140849,0.0
2025-11-05,4991.TWO,27000,967275689.4734066,169.5,BUY_CASH_CAP_CORRECTION,27000.0,0.004818946708500061,0.0
2025-11-05,6274.TWO,11000,967275689.4734066,397.0,BUY_CASH_CAP_CORRECTION,11000.0,0.004719957349993463,0.0
2025-11-06,3163.TWO,-189000,992591359.4696171,223.5,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-11-06,4979.TWO,-224000,992591359.4696171,194.0,SELL_THEN_WAIT_SETTLEMENT,0.0,0.0,0.0
2025-11-07,1519.TW,20000,980893689.5239079,746.0000061035157,BUY_CASH_CAP_CORRECTION,20000.0,0.015590884403125041,0.0
2025-11-07,1815.TWO,201000,980893689.5239079,75.0,BUY_CASH_CAP_CORRECTION,201000.0,0.01540686841133119,0.0
2025-11-07,2368.TW,22000,980893689.5239079,464.5,BUY_CASH_CAP_CORRECTION,32000.0,0.015390301886157715,0.0
