date,symbol,shares,close,weight
2012-01-02,1216.TW,932000.0,43.3,0.04058782535665136
2012-01-02,1402.TW,1174000.0,34.7,0.0409722247176152
2012-01-02,1802.TW,1323000.0,30.6,0.040716763080553935
2012-01-02,2301.TW,1210000.0,33.9,0.041255042876440495
2012-01-02,2308.TW,572000.0,71.5,0.04113334658476958
2012-01-02,2324.TW,1366000.0,30.0,0.04121581845185235
2012-01-02,2347.TW,564000.0,73.09999999999998,0.04146564786384453
2012-01-02,2382.TW,647000.0,63.1,0.04106063053611002
2012-01-02,2395.TW,492000.0,82.09999999999998,0.04062564172497223
2012-01-02,2451.TW,521000.0,76.0,0.03982385425621146
2012-01-02,2603.TW,2699000.0,15.15,0.04112514968578514
2012-01-02,2609.TW,3412000.0,11.8,0.04049328443584916
2012-01-02,2615.TW,2818000.0,14.4,0.0408127120576234
2012-01-02,2881.TW,1288000.0,31.1,0.040287305919037564
2012-01-02,3211.TWO,356000.0,114.0,0.04081753967911117
2012-01-02,3260.TWO,1294000.0,31.6,0.04112570285074728
2012-01-02,3293.TWO,202000.0,191.5,0.03890560041905819
2012-01-02,3363.TWO,1573000.0,26.1,0.041291551763941774
2012-01-02,4123.TWO,1371000.0,29.85,0.041159848215228494
2012-01-02,5483.TWO,885000.0,46.4,0.04130030182788836
2012-01-02,6121.TWO,232000.0,173.0,0.0403669616735858
2012-01-02,6187.TWO,2907000.0,14.35,0.0419555005816819
2012-01-03,1216.TW,932000.0,43.65,0.04038700440288554
2012-01-03,1402.TW,1174000.0,35.0,0.04079224643242351
2012-01-03,1802.TW,1323000.0,30.55,0.04012476853296282
2012-01-03,2301.TW,1210000.0,34.5,0.04144250005649841
2012-01-03,2308.TW,572000.0,72.2,0.04099913628777803
2012-01-03,2324.TW,1366000.0,30.9,0.041903534839735634
2012-01-03,2347.TW,564000.0,73.5,0.041153608751756734
2012-01-03,2382.TW,647000.0,63.0,0.04046563048994926
2012-01-03,2395.TW,492000.0,84.2,0.041126208751719386
2012-01-03,2451.TW,521000.0,75.79999999999998,0.03920562758968076
2012-01-03,2603.TW,2699000.0,15.65,0.04193326781079066
2012-01-03,2609.TW,3412000.0,12.6,0.04267966962340243
2012-01-03,2615.TW,2818000.0,15.0,0.04196369570938287
2012-01-03,2912.TW,257000.0,169.0,0.04311826817472501
2012-01-03,3211.TWO,356000.0,116.0,0.04099675367907913
2012-01-03,3260.TWO,1294000.0,31.25,0.040144474692409976
2012-01-03,3293.TWO,202000.0,191.5,0.03840268845815135
2012-01-03,3363.TWO,1573000.0,26.15,0.040835877954222125
2012-01-03,4123.TWO,1371000.0,30.1,0.04096806309932987
2012-01-03,5483.TWO,885000.0,47.0,0.041293587012817136
2012-01-03,6121.TWO,232000.0,176.5,0.040651275417738574
2012-01-03,6187.TWO,2907000.0,14.4,0.041557460926220355
2012-01-04,1216.TW,932000.0,43.8,0.040350743115686774
2012-01-04,1402.TW,1174000.0,35.45,0.04113825357682175
2012-01-04,1802.TW,1323000.0,30.95,0.04047454841913494
2012-01-04,2301.TW,1210000.0,35.05,0.041921315943222064
2012-01-04,2308.TW,572000.0,72.2,0.040822043464461916
2012-01-04,2324.TW,1366000.0,31.3,0.04226263307919534
2012-01-04,2347.TW,564000.0,73.79999999999998,0.04114309705775505
2012-01-04,2382.TW,647000.0,64.2,0.041058286718147444
2012-01-04,2395.TW,492000.0,83.5,0.04060813953099937
2012-01-04,2451.TW,521000.0,74.7,0.03846979212222154
2012-01-04,2603.TW,2699000.0,15.95,0.042552500586071
2012-01-04,2609.TW,3412000.0,12.7,0.042832582284530386
2012-01-04,2615.TW,2818000.0,15.0,0.04178243654095087
2012-01-04,2912.TW,257000.0,169.5,0.04305903972979965
2012-01-04,3008.TW,73000.0,583.0,0.042068103069466005
2012-01-04,3211.TWO,356000.0,117.0,0.04117156486405691
2012-01-04,3260.TWO,1294000.0,30.1,0.03850013801296692
2012-01-04,3363.TWO,1573000.0,26.15,0.04065949031354733
2012-01-04,4123.TWO,1371000.0,30.2,0.040926623114001366
2012-01-04,5483.TWO,885000.0,48.5,0.042427410277477255
2012-01-04,6121.TWO,232000.0,180.5,0.041392981135293556
2012-01-04,6187.TWO,2907000.0,14.3,0.04109060953988601
2012-01-05,1216.TW,932000.0,43.95,0.040150565131460494
2012-01-05,1402.TW,1174000.0,35.6,0.04096707581601977
2012-01-05,1802.TW,1323000.0,31.05,0.04026598425883967
2012-01-05,2301.TW,1210000.0,36.0,0.04269772559352022
2012-01-05,2308.TW,572000.0,72.9,0.04087336822725163
2012-01-05,2324.TW,1366000.0,31.4,0.04204334079998867
2012-01-05,2347.TW,564000.0,74.09999999999998,0.04096511540621289
2012-01-05,2382.TW,647000.0,65.0,0.04122251721385429
2012-01-05,2395.TW,492000.0,84.4,0.04070281257405437
2012-01-05,2603.TW,2699000.0,16.7,0.04418106967388464
2012-01-05,2609.TW,3412000.0,13.5,0.045150198261908366
2012-01-05,2615.TW,2818000.0,15.1,0.04170948300987956
2012-01-05,2912.TW,257000.0,169.5,0.04269919590087537
2012-01-05,3008.TW,73000.0,587.0,0.04200276031698657
2012-01-05,3211.TWO,356000.0,116.5,0.040653018164959996
2012-01-05,3260.TWO,1294000.0,31.05,0.039383358753543866
2012-01-05,3363.TWO,1573000.0,25.95,0.040011327024927906
2012-01-05,4123.TWO,1371000.0,29.9,0.04018144158591862
2012-01-05,5483.TWO,885000.0,48.95,0.04246321157037399
2012-01-05,6121.TWO,232000.0,181.0,0.041160764304938036
2012-01-05,6187.TWO,2907000.0,14.15,0.040319797508038116
2012-01-05,6290.TWO,1397000.0,31.1,0.042586668377961316
2012-01-06,1216.TW,932000.0,44.4,0.040631057217225514
2012-01-06,1402.TW,1174000.0,34.85,0.04017261657289958
2012-01-06,1802.TW,1323000.0,31.05,0.04033487255164205
2012-01-06,2301.TW,1210000.0,36.1,0.04288958189077127
2012-01-06,2308.TW,572000.0,74.0,0.04156109572291308
2012-01-06,2324.TW,1366000.0,31.85,0.04271883263386769
2012-01-06,2347.TW,564000.0,74.29999999999998,0.04114595606898074
2012-01-06,2382.TW,647000.0,65.4,0.04154715300038272
2012-01-06,2395.TW,492000.0,83.2,0.040192745151200464
2012-01-06,2603.TW,2699000.0,16.35,0.043329121309131746
2012-01-06,2609.TW,3412000.0,13.0,0.04355235215189786
2012-01-06,2615.TW,2818000.0,14.75,0.040812410798307115
2012-01-06,2912.TW,257000.0,169.0,0.04264607518742402
2012-01-06,3008.TW,73000.0,603.0,0.043221457962268735
2012-01-06,3211.TWO,356000.0,113.0,0.03949914379940813
2012-01-06,3260.TWO,1294000.0,30.9,0.03926015375265523
2012-01-06,3363.TWO,1573000.0,25.85,0.03992532962435924
2012-01-06,4123.TWO,1371000.0,31.95,0.04300981332554898
2012-01-06,5483.TWO,885000.0,50.2,0.043622065764549696
2012-01-06,6121.TWO,232000.0,177.0,0.04031999704133677
2012-01-06,6187.TWO,2907000.0,13.85,0.03953247868883813
2012-01-06,6290.TWO,1397000.0,30.85,0.042316604726503976
2012-01-09,1216.TW,932000.0,44.5,0.04078111890118839
2012-01-09,1402.TW,1174000.0,34.8,0.040172656819497325
2012-01-09,1802.TW,1323000.0,31.2,0.0405880000375101
2012-01-09,2301.TW,1210000.0,36.4,0.04330818346154076
2012-01-09,2308.TW,572000.0,74.2,0.041733340426575644
2012-01-09,2324.TW,1366000.0,32.1,0.04311604789146572
2012-01-09,2347.TW,564000.0,74.29999999999998,0.041205115102909765
2012-01-09,2357.TW,191000.0,232.5,0.04366561068632212
2012-01-09,2382.TW,647000.0,65.4,0.0416068888691977
2012-01-09,2603.TW,2699000.0,16.45,0.04365681020857303
2012-01-09,2609.TW,3412000.0,13.3,0.044621470398041395
2012-01-09,2615.TW,2818000.0,14.9,0.04128672847197951
2012-01-09,2912.TW,257000.0,167.0,0.04220197815788457
2012-01-09,3008.TW,73000.0,600.0,0.04306825982234777
2012-01-09,3211.TWO,356000.0,114.0,0.039905987594295936
2012-01-09,3260.TWO,1294000.0,31.2,0.03969831598528955
2012-01-09,3363.TWO,1573000.0,25.65,0.03967338949244716
2012-01-09,4123.TWO,1371000.0,31.5,0.04246500919675393
2012-01-09,5483.TWO,885000.0,48.8,0.042466484137158804
2012-01-09,6121.TWO,232000.0,178.0,0.0406060926398099
2012-01-09,6187.TWO,2907000.0,13.75,0.03930347443890453
2012-01-09,6290.TWO,1397000.0,29.55,0.040591687388522285
2012-01-10,1216.TW,932000.0,45.5,0.04140687909159261
2012-01-10,1402.TW,1174000.0,36.1,0.04138285868821447
2012-01-10,1802.TW,1323000.0,31.4,0.0405634309437051
2012-01-10,2301.TW,1210000.0,37.4,0.044187777824150634
2012-01-10,2308.TW,572000.0,75.59999999999998,0.04222435395777854
2012-01-10,2324.TW,1366000.0,32.25,0.04301556261051443
2012-01-10,2347.TW,564000.0,74.59999999999998,0.04108309186556863
2012-01-10,2357.TW,191000.0,229.5,0.042801722434099326
2012-01-10,2382.TW,647000.0,65.4,0.04131685140088269
2012-01-10,2603.TW,2699000.0,16.8,0.04427487619737541
2012-01-10,2609.TW,3412000.0,13.4,0.04464357962483816
2012-01-10,2615.TW,2818000.0,15.2,0.041824404477140996
2012-01-10,2912.TW,257000.0,169.0,0.04240968211067164
2012-01-10,3008.TW,73000.0,596.0,0.0424829150478001
2012-01-10,3231.TW,1058000.0,41.5,0.0428725142733235
2012-01-10,3260.TWO,1294000.0,31.35,0.03961110982928661
2012-01-10,3363.TWO,1573000.0,25.7,0.039473627195317454
2012-01-10,4123.TWO,1371000.0,31.3,0.04190125023916779
2012-01-10,5483.TWO,885000.0,48.85,0.0422136619489578
2012-01-10,6121.TWO,232000.0,177.5,0.040209764679332724
2012-01-10,6187.TWO,2907000.0,13.75,0.03902949384261239
2012-01-10,6290.TWO,1397000.0,29.6,0.040376931063817956
2012-01-11,1216.TW,932000.0,45.65,0.04137079287313956
2012-01-11,1402.TW,1174000.0,36.05,0.041153854329499584
2012-01-11,1802.TW,1323000.0,31.5,0.04052355597007588
2012-01-11,2301.TW,1210000.0,37.4,0.044004199255415516
2012-01-11,2308.TW,572000.0,75.59999999999998,0.04204893245330321
2012-01-11,2324.TW,1366000.0,31.85,0.04230554420438609
2012-01-11,2347.TW,564000.0,74.59999999999998,0.0409124117459684
2012-01-11,2357.TW,191000.0,229.5,0.04262390224646465
