track,candidate_id,month,sessions,return_net,start_nav,end_nav,max_drawdown,partial_period,research_eligible
official_ex_post,x0352,2025-01,15,0.030886646118751804,1000000000.0,1030886646.1187518,0.04414046968622953,False,True
official_ex_post,x0352,2025-02,19,-0.041473694214271495,1030886646.1187518,988131968.5880468,0.041473694214271495,False,True
official_ex_post,x0352,2025-03,21,-0.07791598453588822,988131968.5880468,911140693.4041238,0.07791598453588822,False,True
official_ex_post,x0352,2025-04,20,-0.05023318102039831,911140693.4041238,865371198.0173032,0.13222580755794844,False,True
official_ex_post,x0352,2025-05,20,0.046807663695566104,865371198.0173032,905877202.0259264,0.012151047660766578,False,True
official_ex_post,x0352,2025-06,21,0.11647856847126348,905877202.0259264,1011392481.7286597,0.007594773369936525,False,True
official_ex_post,x0352,2025-07,23,0.0971091550660641,1011392481.7286597,1109607951.0694995,0.01937594729293668,False,True
official_ex_post,x0352,2025-08,21,0.19646164048503367,1109607951.0694995,1327603349.4318504,0.07011474985538058,False,True
official_ex_post,x0352,2025-09,21,0.02193827568457718,1327603349.4318504,1356728677.7114544,0.05375568785846041,False,True
official_ex_post,x0352,2025-10,20,0.19153924436683734,1356728677.7114544,1616595463.4511247,0.03450516800563286,False,True
official_ex_post,x0352,2025-11,20,0.021296325971826846,1616595463.4511247,1651023007.4053564,0.07573459864904442,False,True
official_ex_post,x0352,2025-12,22,0.08385552383961237,1651023007.4053564,1789470406.5625846,0.033169484208357636,False,True
official_ex_post,x0352,2026-01,21,0.18314646650943422,1789470406.5625846,2117205588.4477227,0.021839878762690446,False,True
official_ex_post,x0352,2026-02,12,0.11684525025974568,2117205588.4477227,2364591005.281229,0.06524055596455192,False,True
official_ex_post,x0352,2026-03,22,-0.01679213221000253,2364591005.281229,2324884480.497964,0.10281569946176838,False,True
official_ex_post,x0352,2026-04,20,0.39126881028774596,2324884480.497964,3234539265.238847,0.025816447754463456,False,True
official_ex_post,x0352,2026-05,20,0.18189791221133156,3234539265.238847,3822895204.5513678,0.07963138051635632,False,True
