date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2016-07-01,999887039.2708097,999887039.2708097,85017839.27080971,0.08502744403288885,22,0.0,0,1301994.237251014,0.0,1301994.237251014,913680166.4919395,0.9136801664919395,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-04,1004525649.2708097,1004997783.8708097,85017839.27080971,0.08463481179651769,22,472134.6,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-05,1001565988.9356513,1002038123.5356513,81239818.93565124,0.08111279719270774,22,472134.6,0,119944.14308928027,120951.30539554772,240895.448484828,84171328.48370546,0.08379211476063937,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-06,986594358.9356513,987066493.5356513,81239818.93565124,0.08234368887259161,22,472134.6,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-07,990087878.9356513,993200563.5356513,81239818.93565124,0.08205313958896698,22,3112684.6000000006,0,0.0,0.0,0.0,0.0,0.0,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-11,1001912987.5443653,1005790667.9241663,76471787.5443653,0.07632577728310871,22,3877680.3798010005,0,115790.34886530167,115078.8344409796,230869.18330628128,81256385.16863275,0.08206987167238498,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-12,992566993.9708047,1003022150.3506057,74186513.97080472,0.07474207224443213,22,10455156.379801001,0,119376.21945377738,122594.22367675214,241970.44313052951,83772785.58159816,0.08361283526917916,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-13,998798692.6930237,1009253849.0728247,71308222.69302365,0.07139398881345944,22,10455156.379801001,0,120384.87760619586,122768.2165205141,243153.09412670997,84480615.8639971,0.08511326326299544,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-14,1000652377.9757669,1011107534.3555679,71031347.97576684,0.07098503889977967,22,10455156.379801001,0,114543.79944051325,120509.6886199036,235053.48806041683,80381613.64246544,0.08047829280366346,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-15,1004791645.280034,1017094801.659835,68172955.28003392,0.06784785243813828,22,12303156.379801001,0,120485.07506232787,122903.88920525236,243388.96426758025,84550929.86830026,0.08449580666498736,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-18,1012362396.7770811,1024665553.1568822,65159636.77708114,0.06436394416122222,22,12303156.379801001,0,120439.93362862518,122623.49489216799,243063.42852079315,84519251.66921064,0.08411619669235532,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-19,1019070178.5218674,1031373334.9016684,60281568.52186744,0.05915350070326281,22,12303156.379801001,0,124965.75566999534,124600.14717670776,249565.9028467031,87695267.13683882,0.08662438215408057,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-20,1016134359.9575564,1028437516.3373574,54846849.95755634,0.05397598203435151,22,12303156.379801001,0,119175.74274726471,117651.31299742902,236827.05574469373,83632100.17351909,0.08206706656338929,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-21,1032087145.1027108,1046332062.2825118,49367935.10271082,0.04783310724967691,22,14244917.179801002,0,118472.42704681712,116842.4179292138,235314.84497603093,83138545.29601201,0.08181845686183142,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-22,1027408498.6183842,1041653415.7981852,44213658.61838428,0.043034156986087764,22,14244917.179801002,0,120165.59092150704,119117.60577540509,239283.1966969121,84326730.47123301,0.08170504871741331,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-25,1019182782.360526,1035657699.8135037,41975502.36052598,0.04118545082100647,22,16474917.452977786,0,115434.28371875081,118503.44454112953,233937.72825988033,81006514.89035144,0.07884547869643438,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-26,1024218875.4405535,1040693792.8935313,43749685.44055356,0.04271517201021631,22,16474917.452977786,0,111854.44581057748,120751.70575325818,232606.15156383568,78494347.93724737,0.07701694857466769,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-27,1019827098.2814265,1036302015.7344043,44368608.281426564,0.04350601033861018,22,16474917.452977786,0,115794.39441042102,123175.67558780265,238970.06999822368,81259224.14766386,0.07933775299025937,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-28,1021715698.8139861,1038190616.2669638,48398098.813986115,0.04736943835762427,22,16474917.452977786,0,118579.33911232874,131239.32074897733,249818.65986130608,83213571.30689737,0.08159576407326859,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
2016-07-29,1022488322.3696119,1038963239.8225896,50587892.36961186,0.04947527640450177,22,16474917.452977786,0,126212.78630456736,136534.37560743015,262747.1619119975,88570376.35408235,0.0866878882813442,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0
