date,symbol,issue
2025-07-15,3036.TW,UNFILLED_MISSING_OFFICIAL_VWAP
2025-07-30,2317.TW,UNFILLED_MISSING_OFFICIAL_VWAP
2025-08-14,2327.TW,UNFILLED_MISSING_OFFICIAL_VWAP
2025-08-14,2327.TW,STALE_HELD_PRICES
2025-08-15,2327.TW,STALE_HELD_PRICES
2025-08-18,2327.TW,STALE_HELD_PRICES
2025-08-19,2327.TW,STALE_HELD_PRICES
2025-08-20,2327.TW,STALE_HELD_PRICES
2025-08-21,2327.TW,STALE_HELD_PRICES
2025-08-22,2327.TW,STALE_HELD_PRICES
2026-06-08,3036.TW,EXECUTION_OUTSIDE_PREDECLARED_PRICE_BOUND
2026-07-30,5904.TWO,STALE_HELD_PRICES
2026-07-31,5904.TWO,STALE_HELD_PRICES
2026-08-03,5904.TWO,STALE_HELD_PRICES
2026-08-04,5904.TWO,STALE_HELD_PRICES
2026-08-05,5904.TWO,STALE_HELD_PRICES
2026-08-06,5904.TWO,STALE_HELD_PRICES
2026-08-07,5904.TWO,STALE_HELD_PRICES
2026-09-02,6669.TW,EXECUTION_OUTSIDE_PREDECLARED_PRICE_BOUND
