execution_month,sessions,weak_signal_trade_days,unknown_signal_trade_days
2025-01,15,1,0
2025-02,19,1,0
2025-03,21,21,0
2025-04,20,20,0
2025-05,20,3,0
2025-06,21,0,5
2025-07,23,0,5
2025-08,21,0,0
2025-09,21,0,0
2025-10,20,0,0
2025-11,20,0,0
2025-12,22,0,0
2026-01,21,0,0
2026-02,12,0,0
2026-03,22,0,0
2026-04,20,1,0
2026-05,20,0,0
2026-06,21,0,0
2026-07,22,4,0
2026-08,21,0,0
2026-09,15,0,0
