date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan
2025-01-02,994735446.2072821,994735446.2072821,105488045.35167105,0.10604633197085203,25,0.0,0,1272865.701748876,0.0,1272865.701748876,893239088.9465798,0.8932390889465798,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION
2025-01-03,994670554.1452622,994670554.1452622,211757603.94111797,0.21289220140138257,22,0.0,0,152107.19532929396,320225.674377461,472332.869706755,106741891.45915365,0.10730681395353722,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-01-06,1008962834.1532649,1008962834.1532649,89772834.1120266,0.08897536269248725,25,0.0,0,173580.94416102578,0.0,173580.94416102578,121811188.88493036,0.1224638533605781,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-01-07,1017900355.7578564,1017900355.7578564,142304954.35683373,0.1398024409283987,24,0.0,0,75190.99148617651,158296.82418142428,233487.81566760078,52765608.060474776,0.05229687980009331,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-01-08,1019159388.5958376,1020064914.4304175,91833989.45487636,0.09010758325192102,25,905525.83458,0,71818.78321920181,0.0,71818.78321920181,50399146.11873811,0.04951284851572184,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-01-09,1000576906.4901242,1001482432.3247042,143276708.1008154,0.14319409849604553,24,905525.83458,0,73631.69431781945,155014.09330067248,228645.78761849192,51671364.4335575,0.05069998374321853,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-01-10,1006316872.5635349,1007222398.3981148,91731371.3071192,0.09115555329350562,25,905525.83458,0,73347.58462292943,0.0,73347.58462292943,51471989.20907329,0.051442311805525685,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-01-13,968110978.1203351,969016503.954915,207281376.0253444,0.21410910599092448,22,905525.83458,0,165390.61017348865,348190.7582599761,513581.3684334648,116063586.0866587,0.11533502940380333,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-01-14,976898768.0785428,977804293.9131228,92437069.10559188,0.09462297642918097,25,905525.83458,0,163420.26348518094,0.0,163420.26348518094,114680886.65626736,0.11845840946761028,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-01-15,972919378.3204131,973824904.154993,231732280.03866577,0.23818240771266558,21,905525.83458,0,199377.92288841162,419742.99555455067,619120.9184429622,139914331.8515169,0.14322295863543127,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-01-16,998403692.8373033,999309218.6718832,83591391.16202731,0.08372504204634297,25,905525.83458,0,210800.3761132484,0.0,210800.3761132484,147930088.5005252,0.15204763292504506,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-01-17,990132988.8846328,991038514.7192128,237951087.0849128,0.240322350387457,21,905525.83458,0,220940.22719545176,465137.3204114774,686077.5476069292,155045773.47049248,0.15529366986802426,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-01-20,999676580.5668414,1000582106.4014213,82310278.55874066,0.08233690791482651,25,905525.83458,0,221472.5537606864,0.0,221472.5537606864,155419335.9724115,0.1569681423780139,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-01-21,1007985839.1183825,1008891364.9529624,172540940.75734493,0.17117397294812683,23,905525.83458,0,129150.18319364298,271895.1225129326,401045.3057065756,90631707.50431085,0.0906610290429335,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-01-22,1031006572.8214891,1031912098.656069,91700676.31313384,0.0889428629559388,25,905525.83458,0,115033.4541608217,0.0,115033.4541608217,80725230.99005032,0.08008567963678463,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-03,990337799.3126731,991243325.147253,184902147.72746998,0.18670613992094226,23,905525.83458,0,133402.40239603142,280847.16293901356,414249.565335045,93615720.97967118,0.09080031441844166,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-04,974384483.7517217,975290009.5863017,102034039.45641696,0.10471640420991737,25,905525.83458,0,117919.01968320203,0.0,117919.01968320203,82750189.25136985,0.0835575389617575,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-05,990033396.6136227,990938922.4482026,237894348.67806298,0.24028921599187758,22,905525.83458,0,194461.43247956765,409392.4894306688,603853.9219102365,136464163.14355627,0.1400516586821266,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-06,1005185117.4949114,1006090643.3294914,122082419.03785011,0.1214526726600368,25,905525.83458,0,164797.1637789184,0.0,164797.1637789184,115647132.47643396,0.1168113448212972,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-07,1018729876.4879837,1019635402.3225636,215616873.52698022,0.21165264561623318,23,905525.83458,0,133879.01227633312,281850.5521607013,415729.5644370344,93950184.05356708,0.09346555417345073,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-10,1017706199.4433104,1018611725.2778903,91923000.27947347,0.09032371064434484,25,905525.83458,0,176012.9509226324,0.0,176012.9509226324,123517860.29658414,0.12124692045197036,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-11,1026339310.98261,1027244836.8171899,176174711.16069233,0.1716534768526248,23,905525.83458,0,120592.30897294209,253878.54520619387,374470.854179136,84626181.735398,0.08315384320316499,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-12,1013930652.8105543,1014836178.6451342,93909452.7024846,0.09261920669049041,25,905525.83458,0,117061.18111985024,0.0,117061.18111985024,82148197.2770879,0.08003999885616755,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-13,1015982566.4111841,1016888092.245764,245167668.16598183,0.2413109006702765,21,905525.83458,0,216500.9738447465,455791.5238836769,672292.4977284234,151930507.96122563,0.1498430958173357,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-14,1010426412.9399133,1011331938.7744932,86599213.52406473,0.08570561142804815,25,905525.83458,0,225638.51298372998,0.0,225638.51298372998,158342816.1289333,0.15585190274303337,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-17,1020557553.7273952,1021463079.5619751,140000201.49715742,0.13718011393461635,24,905525.83458,0,76434.63110429363,160915.0128511445,237349.64395543814,53638337.61704815,0.053084853018621404,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-18,1020370857.3386997,1021276383.1732796,92969708.10837317,0.09111364504358145,25,905525.83458,0,66923.08767907487,0.0,66923.08767907487,46963570.30110517,0.0460175618019577,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-19,1021368168.2058764,1022273694.0404563,143658218.67828363,0.14065272753764396,24,905525.83458,0,72552.17091843649,152741.41245986632,225293.5833783028,50913804.15328876,0.049897352307846775,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-20,1010174708.7067411,1011080234.541321,103275410.13510671,0.10223519678821032,25,905525.83458,0,57463.616520485404,0.0,57463.616520485404,40325344.926656425,0.039481693459755524,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-21,1014980062.4523562,1015885588.2869362,144209660.90421763,0.14208127453832317,24,905525.83458,0,58590.57062098088,123348.56972838081,181939.1403493617,41116189.90946028,0.04070205832226643,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-24,1014085935.5952857,1014991461.4298656,99595534.4913334,0.09821212482635323,25,905525.83458,0,63484.66449145971,0.0,63484.66449145971,44550641.74839278,0.04389312006853732,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-25,1010033273.7162367,1010938799.5508167,174888222.7358595,0.17315095184180376,23,905525.83458,0,107768.95838932249,226882.0176617316,334650.9760510541,75627339.2205772,0.07457685445186918,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
2025-02-26,1013813418.3045952,1014718944.1391752,92612316.99233939,0.09135045494585718,25,905525.83458,0,117076.33191154223,0.0,117076.33191154223,82158829.41160859,0.08134269587903761,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH
2025-02-27,995236841.9174256,996142367.7520056,214582892.90833142,0.21560987683586505,22,905525.83458,0,174580.58979010992,367538.0837686524,542118.6735587623,122512694.58955082,0.12084343369061869,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT
