date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2017-07-19,2017-07-18,3081.TWO,3081.TWO,-7000,387.9777550141376,2715844.285098963,3870.078106266022,8147.5328552968895,0.0,0.003383929525316869,2068601.0,OVERDUE_CAP:3443.TW
2017-07-19,2017-07-18,3443.TW,3443.TW,-66000,168.71322845371785,11135073.077945378,15867.479136072163,33405.219233836135,0.0,0.005482091833344408,12039200.0,OVERDUE_CAP:3443.TW
2017-07-19,2017-07-18,4966.TWO,4966.TWO,-5000,462.9448335125913,2314724.1675629565,3298.481938777213,6944.17250268887,0.0,0.0034762367929073645,1438337.0,OVERDUE_CAP:3443.TW
2017-07-20,2017-07-19,3443.TW,3443.TW,-85000,170.18180240541503,14465453.204460278,20613.270816355896,43396.35961338084,0.0,0.01024370620664954,8297778.0,OVERDUE_CAP:3443.TW
2017-07-27,2017-07-26,3081.TWO,3081.TWO,-6000,427.1650478506139,2562990.2871036837,3652.261159122749,7688.9708613110515,0.0,0.001982965663958046,3025771.0,ACTIVE_CAP:3661.TW
2017-07-27,2017-07-26,3443.TW,3443.TW,-4000,181.8976005725574,727590.4022902296,1036.8163232635773,2182.7712068706887,0.0,0.000676461948423497,5913119.0,ACTIVE_CAP:3661.TW
2017-07-27,2017-07-26,6505.TW,6505.TW,-1000,104.9913758286817,104991.3758286817,149.61271055587144,314.9741274860451,0.0,0.00028007830989544677,3570430.0,ACTIVE_CAP:3661.TW
2017-07-27,2017-07-26,3661.TW,3661.TW,1370000,79.41273407272966,108795445.67963964,155033.5100934865,0.0,0.0,0.2182849147119412,6276201.0,ACTIVE_CAP:3661.TW
