date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume,rejection
2013-07-01,2013-06-28,1519.TW,1519.TW,1000,13.751667090862815,13751.667090862815,19.59612560447951,0.0,0.0,0.0050903537795876815,196450.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,1605.TW,1605.TW,1000,8.745956354478107,8745.956354478107,12.462987805131302,0.0,0.0,3.955584325838885e-05,25280715.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,1785.TWO,1785.TWO,3350000,28.588863586366372,95772693.01432735,136476.08754541646,0.0,0.0,3.3651127212310485,995509.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2059.TW,2059.TW,1000,228.47343567372351,228473.43567372352,325.574645835056,0.0,0.0,0.0011174158194792395,894922.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2347.TW,2347.TW,2439000,39.452411057724305,96224430.56978957,137119.81356195014,0.0,0.0,0.4161850421150596,5860374.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2357.TW,2357.TW,369000,263.9833218560671,97409845.76488876,138809.03021496648,0.0,0.0,0.02244956923292012,16436841.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2360.TW,2360.TW,1872000,52.939310730939745,99102389.6883192,141220.90530585486,0.0,0.0,0.37324175618221533,5015516.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2383.TW,2383.TW,1000,26.75483312406794,26754.83312406794,38.12563720179681,0.0,0.0,0.001133206112060486,882452.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,2409.TW,2409.TW,8762000,11.162378433513979,97804759.83444948,139371.78276409052,0.0,0.0,0.07550704050585615,116042159.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3037.TW,3037.TW,1000,29.160045829464064,29160.045829464063,41.55306530698629,0.0,0.0,0.00034190886350861404,2924756.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3105.TWO,3105.TWO,1000,32.486297804933244,32486.297804933245,46.292974372029875,0.0,0.0,0.0002828694274722788,3535200.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3131.TWO,3131.TWO,1000,233.83865539362168,233838.65539362168,333.2200839359109,0.0,0.0,0.0020397548214704593,490255.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3211.TWO,3211.TWO,928000,92.29824348879467,85652769.95760146,122055.19718958208,0.0,0.0,1.124167171411266,825500.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3264.TWO,3264.TWO,1000,19.15566280846346,19155.66280846346,27.296819502060433,0.0,0.0,0.0022906411275451888,436559.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3324.TWO,3324.TWO,4810000,21.2,101972000.0,145310.1,0.0,0.0,17.683823529411764,272000.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3481.TW,3481.TW,6387000,15.534487497288177,99218771.64517958,141386.7495943809,0.0,0.0,0.07640235097701704,83596904.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3533.TW,3533.TW,1000,74.61946308724832,74619.46308724832,106.33273489932887,0.0,0.0,0.006711409395973154,149000.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,3680.TWO,3680.TWO,1000,59.284009005640605,59284.009005640604,84.47971283303787,0.0,0.0,0.001150439525420687,869233.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,4958.TW,4958.TW,1000,69.16597693197775,69165.97693197776,98.5615171280683,0.0,0.0,0.0008235638076649084,1214235.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,4966.TWO,4966.TWO,401000,240.30229788029956,96361221.45000012,137314.74056625017,0.0,0.0,0.9868801543569159,406331.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,6182.TWO,6182.TWO,1000,14.40416416348657,14404.16416348657,20.525933932968364,0.0,0.0,0.0005640969231333327,1772745.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
2013-07-01,2013-06-28,8069.TWO,8069.TWO,3385000,17.67877398297609,59842649.93237406,85275.77615363304,0.0,0.0,0.3720058610979569,9099319.0,ACTIVE_CAP:2360.TW;ACTIVE_CAP:3324.TWO;ACTIVE_CAP:3481.TW
